Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Gilbert Arenas,24,WAS,PG,80,80,3384,23.8,0.581,0.324,0.479,2,7.8,4.8,27,2.5,0.6,12.8,30.5,11,2.6,13.6,0.193,5.4,0,5.4,6.3,"AS,NBA3"
2,LeBron James,21,CLE,SF,79,79,3361,28.1,0.568,0.208,0.447,2.6,17.1,9.8,32.8,2,1.5,10.7,33.6,12,4.3,16.3,0.232,7.5,1.6,9.1,9.4,"MVP-2,AS,NBA1"
3,Joe Johnson,24,ATL,SG,82,82,3340,17.9,0.537,0.258,0.237,3.4,8.8,6,29.1,1.6,0.7,14.8,24.6,5.5,0.4,6,0.086,3.1,-2.1,1,2.5,
4,Antawn Jamison,29,WAS,SF,82,80,3288,17.7,0.518,0.25,0.199,5.7,21.8,13.5,8.7,1.4,0.3,7.8,23.9,4.9,3.2,8.2,0.119,2.4,-1.2,1.2,2.7,
5,Kobe Bryant,27,LAL,SG,80,80,3277,28,0.559,0.238,0.377,2.6,12.7,7.6,24.1,2.4,0.7,9,38.7,11.6,3.7,15.3,0.224,7.4,0.2,7.6,8,"MVP-4,AS,NBA1,DEF1"
6,Shawn Marion,27,PHO,PF,81,81,3263,23.6,0.591,0.212,0.218,8.7,23.6,16.3,6.8,2.5,2.9,7.7,22.3,8.6,5.9,14.6,0.214,3.5,1.3,4.8,5.6,"MVP-10,DPOY-7,AS,NBA3"
7,Lamar Odom,26,LAL,PF,80,80,3221,17,0.558,0.232,0.338,6.6,20.3,13.5,22.4,1.2,1.5,16.7,18.1,5.4,3.8,9.2,0.137,2.1,0.6,2.7,3.9,
8,Ricky Davis,26,2TM,SG,78,78,3207,15.6,0.521,0.186,0.265,2.5,10.5,6.6,22.2,1.5,0.4,12.8,24.3,2.5,2.5,5,0.075,0.6,-1,-0.4,1.3,
9,Mike Bibby,27,SAC,PG,82,82,3167,17.9,0.554,0.36,0.292,1.1,7.7,4.4,25.2,1.4,0.2,11.3,25.4,6,2.4,8.4,0.127,2.7,-1.2,1.5,2.8,
10,Morris Peterson,28,TOR,SG,82,77,3140,15.3,0.561,0.409,0.268,2.4,12.8,7.4,10,1.7,0.4,9.3,19.9,5.2,0.6,5.9,0.09,1.4,-1,0.4,1.9,
11,Pau Gasol,25,MEM,PF,80,80,3135,22.7,0.555,0.01,0.517,7.5,20,13.8,23.7,0.8,3.9,13.8,26.4,6.6,5.4,12,0.184,3.9,1.7,5.5,6,AS
12,Michael Redd,26,MIL,SG,80,80,3130,21.2,0.574,0.272,0.377,2.9,10.2,6.5,13.8,1.6,0.1,8.8,28.3,8.8,2,10.8,0.166,4.7,-0.9,3.8,4.6,
13,Allen Iverson,30,PHI,PG,72,72,3103,25.9,0.543,0.122,0.455,1.7,7.1,4.4,34.9,2.3,0.2,10.2,35.8,8.8,1.8,10.6,0.165,5.8,-1,4.8,5.3,"MVP-10,AS,NBA3"
14,Elton Brand,26,LAC,PF,79,79,3099,26.5,0.58,0.002,0.396,9.3,19.9,14.8,13.1,1.4,4.9,9.3,27.7,9.3,5.5,14.8,0.229,5.1,1.6,6.7,6.8,"MVP-7,DPOY-10,AS,NBA2"
15,Dirk Nowitzki,27,DAL,PF,81,81,3089,28.1,0.589,0.173,0.382,4.6,23.4,14.2,14.7,1,2.1,7.9,30,13.5,4.3,17.7,0.275,7.8,0.4,8.1,7.9,"MVP-3,AS,NBA1"
16,Andre Iguodala,22,PHI,SF,82,82,3086,14.8,0.598,0.23,0.507,4.4,13.8,9.1,12.9,2.3,0.5,15.4,14.7,4.9,2.6,7.5,0.116,0.2,0.4,0.6,2,DPOY-12
17,Paul Pierce,28,BOS,SF,79,79,3084,23.6,0.582,0.215,0.555,3.1,17.5,10.5,23.4,1.8,0.8,13,31.2,8.3,3.2,11.5,0.178,5,-0.2,4.8,5.3,AS
18,Richard Jefferson,25,NJN,SF,78,78,3059,18.9,0.603,0.187,0.577,3.6,17.1,10.2,18,1,0.4,12.1,22.1,7.6,4.1,11.7,0.184,2.6,0.5,3.1,3.9,
19,Ray Allen,30,SEA,SG,78,78,3022,22.2,0.59,0.435,0.239,2.8,10.6,6.6,17.2,1.8,0.4,10.2,27.4,9.8,-0.3,9.5,0.15,6.4,-2,4.4,4.9,AS
20,Dwight Howard,20,ORL,PF,82,81,3021,19.3,0.565,0.002,0.679,12.1,29.2,20.9,7.2,1.2,3,15.9,21.3,4.2,4.4,8.6,0.137,1.1,-0.1,1,2.3,
21,Cuttino Mobley,30,LAC,SG,79,74,2979,13.1,0.519,0.243,0.271,2,10.9,6.6,13.1,1.6,0.9,11.4,19.8,1.9,3.4,5.3,0.086,-0.7,0.5,-0.2,1.3,
22,Jason Kidd,32,NJN,PG,80,80,2975,19.2,0.526,0.436,0.27,3.3,19.8,11.4,39,2.7,0.8,15.9,19.1,4.5,5.6,10.1,0.163,2.8,2.6,5.4,5.5,DEF1
23,Raja Bell,29,PHO,SG,79,79,2959,12.9,0.584,0.48,0.157,1.7,7.7,4.7,9.8,1.3,0.5,8.2,16.4,4.7,2.1,6.8,0.11,0.2,0.1,0.2,1.6,DPOY-13
24,Kevin Garnett,29,MIN,PF,76,76,2957,26.8,0.589,0.025,0.411,8.9,29.7,19.6,20.2,1.9,2.7,11.3,25.5,9,5.9,14.9,0.242,5.6,2.2,7.8,7.4,"DPOY-13,AS,DEF2"
25,Kirk Hinrich,25,CHI,PG,81,81,2955,15.5,0.528,0.316,0.291,1.1,10,5.6,28.9,1.6,0.6,13.4,21.4,4.1,3.5,7.6,0.124,1.1,0.6,1.8,2.8,
26,Mehmet Okur,26,UTA,PF,82,82,2945,19,0.554,0.207,0.402,8.6,22.2,15.4,12.8,0.7,2.1,10.9,23.5,6.3,3,9.3,0.152,2.4,-0.8,1.6,2.7,
27,Carmelo Anthony,21,DEN,SF,80,80,2941,22,0.563,0.097,0.451,4.9,10.7,7.8,14.3,1.5,1.1,10.4,32,6.8,2.6,9.4,0.153,3.5,-0.9,2.7,3.5,NBA3
28,Andre Miller,29,DEN,PG,82,82,2937,16.4,0.532,0.031,0.486,3.7,10.2,7,36.2,1.8,0.5,19.5,20,3.6,2.6,6.2,0.101,0.6,-0.4,0.2,1.7,
29,Chauncey Billups,29,DET,PG,81,81,2925,23.4,0.602,0.42,0.514,1.6,8.7,5.1,39.3,1.3,0.2,12,22.9,12.7,2.8,15.5,0.254,6.2,0.1,6.2,6.1,"MVP-5,AS,NBA2,DEF2"
30,Mike James,30,TOR,PG,79,79,2925,19.8,0.583,0.311,0.275,1.8,9.5,5.5,28.2,1.3,0.1,13,25,7.7,-0.1,7.6,0.125,4,-2.2,1.8,2.9,
31,Brad Miller,29,SAC,C,79,79,2923,17.5,0.576,0.1,0.385,4.9,19.5,12.3,21.5,1.1,1.6,14.9,18.9,5.5,3.6,9.1,0.15,1.5,1,2.5,3.3,
32,Stephen Jackson,27,IND,SG,81,81,2910,13.6,0.512,0.295,0.297,2,10.1,6.2,14.2,1.9,1.1,13.5,24,0.5,3.9,4.4,0.073,-0.6,0.5,-0.1,1.4,
33,Vince Carter,29,NJN,SG,79,79,2906,21.6,0.536,0.242,0.396,5.4,13.4,9.3,24.4,1.7,1.5,10.7,32.3,4.9,4.4,9.3,0.153,4.5,0.5,5.1,5.2,AS
34,Tayshaun Prince,25,DET,SF,82,82,2898,14.8,0.524,0.183,0.238,4.2,10,7.1,10.8,1.2,1,7.6,19.6,4,3,7,0.115,0.5,-0.2,0.3,1.7,"DPOY-13,DEF2"
35,Chris Webber,32,PHI,PF,75,75,2893,18.4,0.482,0.054,0.245,7.4,22.6,15,16.4,1.8,1.6,10.4,27.7,1.1,3.3,4.4,0.074,0.6,-0.7,-0.1,1.3,
36,Dwyane Wade,24,MIA,SG,75,75,2892,27.6,0.577,0.054,0.568,4.5,12.6,8.7,33,2.6,1.5,13.2,32.5,10.2,4.2,14.4,0.239,5.9,1.8,7.7,7.1,"MVP-6,AS,NBA2"
37,Ben Wallace,31,DET,C,82,82,2890,17.5,0.501,0.009,0.637,12.2,25.9,19,8.2,2.8,4.6,12.9,11.2,3.3,6.9,10.1,0.168,0.4,3.1,3.5,4,"DPOY-1,AS,NBA2,DEF1"
38,Jason Richardson,25,GSW,SG,75,75,2877,19.2,0.538,0.332,0.285,4,13.2,8.5,15.6,1.7,1,9.4,27.6,4.5,2.8,7.3,0.122,3.4,-0.3,3.1,3.7,
39,Rashard Lewis,26,SEA,SF,78,77,2876,20,0.585,0.321,0.372,4.6,11.9,8.2,10.7,1.9,1.3,9.5,23.1,8.2,0.1,8.3,0.138,4.2,-1.6,2.7,3.4,
40,Boris Diaw,23,PHO,PF,81,70,2874,17.3,0.564,0.035,0.279,6.3,15.1,10.8,24.9,1,2.1,16.5,17.9,5.9,3,8.9,0.149,1.4,1.4,2.8,3.5,MIP-1
41,Shane Battier,27,MEM,SF,81,81,2839,14.7,0.574,0.266,0.335,7.1,11.2,9.2,8.2,1.8,3.2,11.2,13.7,4.6,4.5,9.1,0.153,0.8,1.8,2.6,3.3,DPOY-10
42,Richard Hamilton,27,DET,SG,80,80,2825,18.2,0.553,0.091,0.229,3.5,7.3,5.4,18.6,1,0.4,10.6,27.4,5.3,2.4,7.6,0.13,1.7,-0.9,0.8,2,AS
43,Chris Paul,20,NOK,PG,78,78,2808,22.1,0.546,0.187,0.491,2.5,14.8,8.5,38.2,3.4,0.2,13.7,22.2,6.8,3.6,10.4,0.178,3,2.2,5.2,5.1,ROY-1
44,Jason Terry,28,DAL,PG,80,80,2798,18.4,0.575,0.379,0.191,1.4,5.4,3.4,19.6,2,0.7,10.2,22.2,7.4,2.3,9.6,0.165,3.6,-0.2,3.3,3.7,
45,Steve Nash,31,PHO,PG,79,79,2796,23.3,0.632,0.324,0.264,1.9,11.1,6.6,44.4,1.1,0.3,19,23.3,10.3,2.1,12.4,0.212,5.7,-0.7,5,4.9,"MVP-1,AS,NBA1"
46,Tim Duncan,29,SAS,PF,80,80,2784,23.1,0.523,0.004,0.45,10.1,26.9,18.7,16.5,1.4,4.2,12.2,27.7,3.9,6.9,10.8,0.187,2.3,2.6,5,4.9,"MVP-8,DPOY-6,AS,NBA2,DEF2"
