Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Andre Iguodala,25,PHI,SF,82,82,3269,18.4,0.56,0.228,0.454,3.3,14,8.6,22.4,2.1,0.9,13.9,22.3,5.6,3.5,9.2,0.134,2.6,0.6,3.2,4.3,DPOY-13
2,Joe Johnson,27,ATL,SG,79,79,3124,18.2,0.534,0.292,0.255,2.4,10.5,6.5,26.4,1.4,0.5,11,26.6,5.1,2.5,7.6,0.116,2.7,-0.9,1.8,3.1,AS
3,O.J. Mayo,21,MEM,SG,82,82,3120,14.2,0.539,0.295,0.219,2.2,10.1,6.1,15.5,1.6,0.3,13.8,24.5,1.5,1.8,3.4,0.052,0.2,-1.4,-1.3,0.6,ROY-2
4,Antawn Jamison,32,WAS,PF,81,81,3096,20.6,0.549,0.221,0.314,7.2,20.5,13.7,9.1,1.6,0.7,7.1,25.9,6.6,1.6,8.1,0.126,3.3,-1.7,1.6,2.8,
5,Raymond Felton,24,CHA,PG,82,81,3086,13.7,0.483,0.191,0.251,2.2,10.2,6.2,31.1,2.2,0.8,15.9,21.9,0.6,3.7,4.3,0.066,-0.6,0.4,-0.1,1.4,
6,Tayshaun Prince,28,DET,SF,82,82,3057,15,0.516,0.138,0.238,4.9,13.7,9.2,13.8,0.8,1.3,8.2,19.2,3.7,2.5,6.2,0.098,1.4,-0.2,1.2,2.5,
7,LeBron James,24,CLE,SF,81,81,3054,31.7,0.591,0.238,0.472,4.3,19,11.9,38,2.4,2.4,11,33.8,13.7,6.5,20.3,0.318,9.5,3.7,13.2,11.8,"MVP-1,DPOY-2,AS,NBA1,DEF1"
8,Dirk Nowitzki,30,DAL,PF,81,81,3050,23.1,0.564,0.105,0.337,3.3,22.1,12.8,12.1,1,1.5,7.8,30.3,7.5,3.4,10.9,0.171,3.7,-0.3,3.4,4.2,"MVP-10,AS,NBA1"
9,Dwyane Wade,27,MIA,SG,79,79,3048,30.4,0.574,0.16,0.443,3.5,12.2,7.8,40.3,3,2.8,11.6,36.2,10.3,4.4,14.7,0.232,8.2,2.4,10.6,9.6,"MVP-3,DPOY-3,AS,NBA1,DEF2"
10,Paul Pierce,31,BOS,SF,81,81,3035,17.7,0.582,0.257,0.468,2.4,15.4,9.2,16.3,1.4,0.7,13.8,25.4,5.5,4.8,10.3,0.164,2.4,0.7,3.1,3.9,"MVP-7,AS,NBA2"
11,LaMarcus Aldridge,23,POR,PF,81,81,3004,19.1,0.529,0.023,0.269,9.5,15.6,12.5,9.3,1.4,2,8,23.7,6.1,3.3,9.5,0.151,1.7,-0.4,1.3,2.5,
12,Chris Paul,23,NOH,PG,78,78,3002,30,0.599,0.14,0.418,2.8,14.6,8.7,54.5,3.9,0.3,13.5,27.5,13.3,5,18.3,0.292,7.2,3.8,11,9.9,"MVP-5,DPOY-6,AS,NBA2,DEF1"
13,Derrick Rose,20,CHI,PG,81,80,3000,16,0.516,0.06,0.207,3.7,8.4,6.1,28.8,1.1,0.4,13.3,22.6,3.4,1.5,4.9,0.078,1.1,-1.5,-0.4,1.2,ROY-1
14,Ben Gordon,25,CHI,SG,82,76,2999,17,0.573,0.321,0.29,2,8.8,5.4,15.9,1.2,0.5,11.9,25,5.2,1.7,6.9,0.11,2.4,-1.3,1.1,2.3,
