Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,LeBron James,20,CLE,SF,80,80,3388,25.7,0.554,0.183,0.378,3.8,17,10.2,32.9,2.8,1.1,11.8,29.7,9.7,4.6,14.3,0.203,7,1.7,8.6,9.1,"MVP-6,AS,NBA2"
2,Stephon Marbury,27,NYK,PG,82,82,3281,21.9,0.575,0.248,0.42,1.8,7.1,4.4,36,2,0.1,13.1,24.8,10.4,1.3,11.7,0.171,4.9,-0.7,4.2,5.1,
3,Gilbert Arenas,23,WAS,PG,80,80,3274,21.3,0.565,0.369,0.42,2.8,10.5,6.5,22.9,2.2,0.5,11.8,27.3,9.2,2.3,11.5,0.169,4.7,-0.4,4.2,5.2,"MVP-12,AS,NBA3"
4,Joe Johnson,23,PHO,SF,82,82,3240,15.1,0.556,0.314,0.153,4.2,9.5,7,13.2,1.2,0.5,10.5,19,5.8,1.7,7.6,0.112,1.5,-0.6,0.9,2.4,
5,Tracy McGrady,25,HOU,SF,78,78,3182,22.9,0.526,0.262,0.336,2.7,14.8,8.9,28.6,2.3,1.3,9.5,31.2,6.5,5.4,12,0.18,5.2,1.5,6.7,6.9,"MVP-7,AS,NBA3"
6,Allen Iverson,29,PHI,PG,75,75,3174,23.2,0.532,0.186,0.432,1.8,8.9,5.3,37.6,2.9,0.2,13.7,35,5.3,3.7,9,0.136,4.2,0,4.2,5,"MVP-5,DPOY-11,AS,NBA1"
7,Shawn Marion,26,PHO,PF,81,81,3146,21.7,0.556,0.265,0.213,8.4,22,15.5,7.5,2.6,2.5,8.1,21.3,7.3,5.2,12.5,0.191,3.1,1.3,4.4,5.1,"MVP-14,DPOY-5,AS,NBA3"
8,Kevin Garnett,28,MIN,PF,82,82,3121,28.2,0.567,0.018,0.404,9.5,30.2,20.3,27.1,2.1,2.6,12.2,27.1,10.1,6,16.1,0.248,6.5,3,9.5,9.1,"MVP-11,DPOY-9,AS,NBA2,DEF1"
9,Mike Bibby,26,SAC,PG,80,80,3084,19.2,0.543,0.288,0.327,2.8,9.2,6,28.1,2.1,0.7,12.3,23.8,6.6,1.9,8.5,0.133,3.1,-0.5,2.6,3.6,
10,Ray Allen,29,SEA,SG,78,78,3064,20.9,0.555,0.372,0.286,3.2,10.7,6.9,18.1,1.5,0.1,9.2,28,9.7,1,10.7,0.168,5.3,-1.2,4.1,4.8,"MVP-9,AS,NBA2"
11,Tayshaun Prince,24,DET,SF,82,82,3039,16.2,0.556,0.143,0.285,5.2,11.5,8.4,14.5,1,1.8,11.1,18.8,5.4,4,9.4,0.149,1.4,0.7,2.1,3.1,"DPOY-7,DEF2"
12,Dirk Nowitzki,26,DAL,PF,78,78,3020,26.1,0.578,0.158,0.49,3.6,24,14,14.3,1.7,2.9,9.1,28.7,10.3,5.2,15.6,0.248,5.8,1.5,7.3,7.1,"MVP-3,AS,NBA1"
13,Chris Bosh,20,TOR,PF,81,81,3017,17.5,0.547,0.01,0.539,7.1,20,13.5,8.6,1.3,2.7,13.1,21.7,3.9,2.9,6.8,0.108,0.1,-0.3,-0.2,1.4,
14,Elton Brand,25,LAC,PF,81,81,3001,22.4,0.554,0.002,0.387,12.2,18.4,15.4,13.3,1.1,4.3,11.1,25.4,6.9,3.7,10.6,0.169,3.4,0.2,3.6,4.2,
15,Steve Francis,27,ORL,PG,78,78,2978,18.9,0.521,0.095,0.456,4.8,12,8.5,31.6,1.9,0.7,16.6,28,3.9,2.3,6.2,0.1,2.1,-0.9,1.2,2.4,
16,Dwyane Wade,23,MIA,SG,77,77,2974,23.1,0.561,0.034,0.578,4.5,10.8,7.8,31,2.2,2,16.3,30.9,6.7,4.3,11,0.177,3.9,0.7,4.6,4.9,"MVP-8,DPOY-21,AS,NBA2,DEF2"
17,Paul Pierce,27,BOS,SF,82,82,2960,21.8,0.583,0.239,0.546,3.1,17.8,10.6,20.3,2.3,1,13.2,26.6,7.7,3.6,11.2,0.182,4,0.7,4.6,4.9,AS
18,Antoine Walker,28,2TM,PF,77,77,2955,15.5,0.478,0.248,0.271,7,20.9,13.7,16.3,1.6,1.5,14.1,27.2,-1.4,2.3,0.9,0.015,0.8,-1.3,-0.4,1.2,
19,Richard Hamilton,26,DET,SG,76,76,2926,16,0.528,0.102,0.37,3,8.8,5.9,23.5,1.4,0.3,13.9,25.1,3.9,3.5,7.4,0.121,0.3,0,0.3,1.7,
20,Chucky Atkins,30,LAL,PG,82,82,2903,13.4,0.558,0.5,0.223,1.2,6.4,3.8,20.6,1.3,0.1,13.1,17.9,4.7,-0.2,4.5,0.074,0.6,-1.7,-1.1,0.6,
21,Desmond Mason,27,MIL,SF,80,71,2893,14.8,0.526,0.007,0.486,3.4,9.3,6.3,12.8,1.1,0.7,11.1,23.2,3.6,0.7,4.3,0.071,-0.1,-1.5,-1.6,0.3,
22,Amar'e Stoudemire,22,PHO,C,80,80,2889,26.6,0.617,0.012,0.595,8.5,17.4,13.2,7.7,1.3,3,10.1,28.3,11.3,3.3,14.6,0.243,4.1,0.3,4.4,4.7,"MVP-9,AS,NBA2"
23,Chauncey Billups,28,DET,PG,80,80,2866,19,0.609,0.424,0.418,2,9,5.5,28.2,1.6,0.2,14.3,20.7,8.6,3.5,12.1,0.202,3.6,0.6,4.2,4.5,DEF2
24,Kurt Thomas,32,NYK,PF,80,80,2855,14.1,0.488,0.004,0.093,6.9,27.4,17.1,9.3,1.3,2.1,9.5,16.6,1.8,3.3,5.2,0.087,-0.9,0.2,-0.8,0.9,
25,Andre Miller,28,DEN,PG,82,82,2852,16.5,0.541,0.044,0.337,4.1,9.6,6.8,32.2,2.2,0.2,17.6,19.5,4.1,2.9,7,0.119,0.8,0.1,0.8,2,
26,Michael Redd,25,MIL,SG,75,75,2848,18.3,0.536,0.207,0.305,2.9,10,6.4,11.4,1.2,0.2,7.6,27.8,5.5,0.7,6.2,0.105,2.8,-1.8,1,2.2,
