Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Allen Iverson,32,DEN,SG,82,82,3424,20.9,0.567,0.177,0.512,1.5,6.1,3.8,27.4,2.2,0.2,11.4,26.7,8.9,2.8,11.6,0.163,3.4,-0.7,2.7,4,AS
2,Joe Johnson,26,ATL,SG,82,82,3343,17.3,0.535,0.297,0.253,2.9,9.9,6.4,25.5,1.3,0.4,11.8,25.6,5.3,1.7,7,0.1,2.7,-1.5,1.2,2.7,AS
3,Andre Iguodala,24,PHI,SF,82,82,3242,19,0.543,0.24,0.396,3.1,13.4,8.2,20.3,2.8,1.2,12.5,23.8,5.3,4.4,9.6,0.143,2.5,1.5,4,4.9,
4,Richard Jefferson,27,NJN,SF,82,82,3200,17.4,0.571,0.16,0.511,3.4,9,6.2,15,1.2,0.5,10.9,26.1,6.1,1.5,7.6,0.114,1.6,-1.3,0.3,1.8,
5,Baron Davis,28,GSW,PG,82,82,3196,19.8,0.523,0.344,0.278,3.1,10.1,6.4,29.7,2.9,1,11.9,25.6,5.9,2.8,8.7,0.131,3.2,0.3,3.6,4.5,
6,Kobe Bryant,29,LAL,SG,82,82,3192,24.2,0.576,0.246,0.439,3.4,14.1,9,23.9,2.4,0.9,11.3,31.4,9.5,4.3,13.8,0.208,5.2,0.6,5.8,6.3,"MVP-1,DPOY-5,AS,NBA1,DEF1"
7,Jamal Crawford,27,NYK,SG,80,80,3190,16,0.528,0.355,0.274,1.3,6.3,3.7,22,1.3,0.4,11,24.6,4.6,0.4,5,0.076,2.1,-1.8,0.3,1.9,
8,Jason Richardson,27,CHA,SF,82,82,3149,18.4,0.554,0.408,0.225,2.9,13.3,8,15.2,1.9,1.4,9.3,25.9,4.8,2.6,7.4,0.113,3.3,-0.3,3,4,
9,Dwight Howard,22,ORL,C,82,82,3088,22.9,0.619,0.004,0.921,10.9,31.6,21.7,6.1,1.2,4.2,16.1,24.2,6.4,6.4,12.9,0.2,1.6,1.2,2.8,3.7,"MVP-5,DPOY-7,AS,NBA1,DEF2"
10,Rashard Lewis,28,ORL,PF,81,81,3076,16.7,0.591,0.487,0.229,3.8,12.2,8.2,10.5,1.7,0.9,10.1,20.7,6.1,3.7,9.8,0.153,2.7,0.4,3.1,4,
