Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Damian Lillard,22,POR,PG,82,82,3167,16.4,0.546,0.391,0.249,1.5,8,4.7,28.8,1.2,0.5,14.5,24.2,5.1,0.7,5.8,0.088,2.1,-1.9,0.3,1.8,ROY-1
2,Kevin Durant,24,OKC,SF,81,81,3119,28.3,0.647,0.233,0.523,1.8,20.3,11.8,21.7,1.9,2.6,13.7,29.8,13.6,5.3,18.9,0.291,7.6,1.7,9.3,8.9,"MVP-2,AS,NBA1"
3,Monta Ellis,27,MIL,SG,82,82,3076,16.2,0.493,0.228,0.26,1.5,9.8,5.5,27.1,2.8,0.9,13.7,26.3,1.2,3.3,4.6,0.071,0.3,0.3,0.6,2.1,
4,DeMar DeRozan,23,TOR,SG,82,82,3013,14.7,0.523,0.097,0.347,1.9,10.9,6.3,12,1.3,0.6,9.6,24.2,3.1,1.6,4.7,0.075,-0.2,-1.2,-1.4,0.4,
5,Kobe Bryant,34,LAL,SG,78,78,3013,23,0.57,0.255,0.392,2.5,13.1,7.9,29.7,1.8,0.6,13.3,31.9,8.4,2.6,10.9,0.174,4.7,-0.1,4.6,5,"MVP-5,AS,NBA1"
6,James Harden,23,HOU,SG,78,78,2985,22.9,0.6,0.364,0.592,2.4,11.9,7.2,25.7,2.4,1,14.9,29,9.8,3,12.8,0.206,5.2,0.5,5.6,5.8,"MVP-8,AS,NBA3"
7,Stephen Curry,24,GSW,PG,78,78,2983,21.3,0.589,0.432,0.21,2.3,9.1,5.8,31.1,2.1,0.3,13.7,26.4,8.4,2.8,11.2,0.18,5.3,0.1,5.4,5.6,MVP-11
8,Paul George,22,IND,SF,79,79,2972,16.8,0.531,0.399,0.233,3.4,19,11.3,19.6,2.6,1.3,15.2,23.5,2.7,6.3,9,0.145,1.5,2.3,3.8,4.4,"DPOY-8,MIP-1,AS,NBA3,DEF2"
9,Klay Thompson,22,GSW,SG,82,82,2936,12.7,0.533,0.437,0.13,1.2,10,5.7,10.1,1.5,1.2,11,21.8,1.7,2.6,4.3,0.07,-0.1,-0.2,-0.3,1.3,
10,Jrue Holiday,22,PHI,PG,78,78,2926,16.7,0.496,0.192,0.188,3.3,9.5,6.4,36.5,2.2,0.9,17.3,26.6,0.6,2.7,3.3,0.055,1.2,-0.7,0.5,1.9,AS
