Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
73,James Posey,27,MEM,SG,82,82,2451,18.8,0.614,0.377,0.435,4.2,14.5,9.3,8.4,2.9,1.2,10.9,18.9,6.8,3.2,10,0.195,2.3,1.4,3.7,3.5,DPOY-10
74,Jason Kidd,30,NJN,PG,67,66,2450,19.7,0.485,0.306,0.26,4.1,16.5,10.3,44.8,2.7,0.4,16.7,24.6,2.8,4.4,7.2,0.141,3.4,1.3,4.7,4.2,"MVP-8,AS,NBA1,DEF2"
75,Kobe Bryant,25,LAL,SG,65,64,2447,23.7,0.551,0.184,0.452,4.7,12,8.3,24.4,2.4,0.8,10.8,29.1,7.8,3,10.7,0.21,5.1,0.5,5.6,4.7,"MVP-5,DPOY-10,AS,NBA1,DEF1"
76,DeShawn Stevenson,22,2TM,SF,80,78,2444,11.6,0.473,0.082,0.234,3.8,10.9,7.3,11.9,1.2,0.6,11.1,20.4,0.8,0.7,1.5,0.029,-1.3,-1.7,-3,-0.6,
77,Al Harrington,23,IND,PF,79,15,2441,14.9,0.514,0.085,0.277,7.8,16.9,12.3,10.3,1.8,0.7,13.8,22.9,1.8,4.1,5.9,0.116,-0.9,0.2,-0.7,0.8,6MOY-2
78,Erick Dampier,28,GSW,C,74,74,2403,20.1,0.573,0.003,0.511,16.1,25.5,20.8,4.3,0.7,4.1,14.1,17.8,5.5,3.4,8.9,0.178,1.3,-0.3,1,1.8,
79,Mark Blount,28,BOS,C,82,73,2402,16,0.601,0,0.366,10.1,17.9,14,5.4,1.7,3.4,17.6,16.1,3.7,2.9,6.5,0.131,-0.6,0.1,-0.5,0.9,
80,Rasheed Wallace,29,3TM,PF,68,66,2390,17.8,0.51,0.255,0.218,5.1,17.4,11.3,12.1,1.4,3.8,10,23.4,3.1,3.1,6.2,0.125,1.5,0.8,2.3,2.6,
81,Antawn Jamison,27,DAL,SF,82,2,2376,21.2,0.581,0.044,0.322,10.4,13.5,11.9,4.7,1.8,0.9,7.2,20.7,8.1,1,9,0.183,3.3,-1.5,1.7,2.2,6MOY-1
82,Jeff McInnis,29,2TM,PG,70,57,2365,15.1,0.511,0.17,0.191,1.6,6.9,4.3,30.7,1.7,0.2,12.9,18.2,4.1,0.8,4.9,0.099,0.6,-1,-0.5,0.9,
83,Rasho Nesterović,27,SAS,C,82,82,2353,15.3,0.473,0,0.163,12.4,17.6,15,8.4,1.2,5.1,12.5,16.8,1.6,5.6,7.2,0.147,-1.1,2.2,1.1,1.9,
84,Keith Van Horn,28,2TM,SF,72,62,2340,17.8,0.564,0.258,0.321,7.4,17.1,12.3,9.2,1.5,1,14.1,23.6,4.1,2.2,6.3,0.129,1.8,-0.6,1.2,1.9,
85,Quentin Richardson,23,LAC,SG,65,64,2338,15.1,0.484,0.319,0.191,7.1,13.2,10.1,11.2,1.5,0.6,10.9,24.6,2,0.4,2.4,0.05,1.7,-2.5,-0.8,0.7,
86,Mike Dunleavy,23,GSW,SF,75,69,2336,15.1,0.547,0.353,0.257,4.2,17.2,10.7,16.1,1.6,0.4,15.1,18.6,3,2.2,5.2,0.107,1,0.3,1.3,2,
87,Tyronn Lue,26,ORL,PG,76,69,2332,12.6,0.518,0.293,0.183,1.2,8,4.5,22.7,1.4,0.2,13.8,17.4,2.7,-0.6,2.1,0.042,-0.5,-2,-2.5,-0.3,
88,Vladimir Radmanović,23,SEA,PF,77,38,2321,15.1,0.533,0.464,0.156,5.3,15.2,10.3,10.3,1.8,1.4,11.2,19.5,3.2,1,4.2,0.088,1.6,-0.8,0.8,1.6,6MOY-15
89,Vlade Divac,35,SAC,C,81,81,2317,16.3,0.511,0.019,0.389,6.8,15.6,11.3,28.7,1.3,2.3,18.1,18.6,3.5,1.8,5.3,0.11,1.1,0.9,2,2.4,
90,Brian Grant,31,MIA,C,76,76,2303,12.1,0.502,0.002,0.179,8.7,17.9,13.3,5.3,1.2,1.2,11,15.2,2.1,2.8,4.9,0.101,-1.8,-0.2,-2,0,
91,Trenton Hassell,24,MIN,SG,81,74,2264,8.2,0.498,0.034,0.16,3.6,9,6.5,8.5,0.9,1.7,10.1,9.5,1.7,2.3,4,0.084,-2.2,0.9,-1.3,0.4,
92,Manu Ginóbili,26,SAS,SG,77,38,2260,18.5,0.536,0.311,0.378,4.3,12.6,8.5,22.5,3.2,0.5,14.9,22.1,4,5.1,9.1,0.194,1.5,3.1,4.7,3.8,6MOY-3
93,Reggie Miller,38,IND,SG,80,80,2254,16.1,0.6,0.562,0.278,0.9,9,4.9,19.1,1.6,0.4,9.3,15.4,6,2.9,8.9,0.189,2.5,0.9,3.5,3.1,
94,Joe Smith,28,MIL,PF,76,76,2254,16.6,0.51,0.007,0.34,11.6,20.8,16.2,5.6,1.1,3,9.2,18,4,2.3,6.3,0.134,0.3,-0.7,-0.4,0.9,
95,Kenyon Martin,26,NJN,PF,65,62,2252,18.7,0.528,0.028,0.327,7,25.3,16.2,13.7,2.3,2.8,14,25,1.5,5.1,6.7,0.142,0.1,1.8,1.9,2.2,"DPOY-9,AS"
96,Darrell Armstrong,35,NOH,PG,79,22,2247,15.6,0.525,0.583,0.196,3.1,8.5,5.7,24.3,3.2,0.5,16.2,19.4,2.8,2.5,5.3,0.114,1.3,1.1,2.4,2.5,6MOY-13
97,Kwame Brown,21,WAS,PF,74,57,2239,15.7,0.547,0.003,0.567,8.7,19.2,13.8,8.8,1.5,1.7,16,17.3,2.9,2,4.9,0.105,0,-0.5,-0.6,0.8,
98,Voshon Lenard,30,DEN,SG,73,70,2233,13.5,0.512,0.31,0.195,2.3,7.9,5.1,11.6,1.4,0.4,9.1,21.9,2.8,1.2,4,0.086,0,-1.4,-1.4,0.3,
99,Jason Collins,25,NJN,C,78,78,2220,10,0.497,0.005,0.479,7.6,13.6,10.6,10.8,1.6,1.9,17.3,11.9,1.4,3.5,4.9,0.105,-2.9,1.3,-1.5,0.3,
100,Samuel Dalembert,22,PHI,C,82,53,2197,16.1,0.566,0.002,0.349,10.5,22.9,16.8,1.7,1.1,6.8,13,14.1,3,4,6.9,0.151,-1.3,1.7,0.3,1.3,
101,Mike James,28,2TM,PG,81,55,2196,14.4,0.528,0.428,0.193,1.5,10.6,6.1,26.1,2.3,0.1,14.8,17.4,3,2.2,5.2,0.113,0,0.2,0.2,1.2,
102,Jiří Welsch,24,BOS,SG,81,68,2179,12.6,0.531,0.296,0.337,3.2,12.2,7.8,14,2.4,0.2,15.5,17.4,1.7,1.9,3.6,0.08,-1.1,0.1,-0.9,0.6,
103,Marcus Camby,29,DEN,C,72,72,2162,17.8,0.511,0.004,0.248,10.9,27.4,19,9.6,2,6.1,13.9,14.3,2.6,4.3,6.9,0.154,-0.1,2.5,2.5,2.5,
104,Eddy Curry,21,CHI,PF,73,63,2154,14.8,0.538,0.001,0.417,7.1,16.1,11.4,6.2,0.6,2.8,15.1,24.3,1.1,1.8,3,0.066,-1.7,-1.1,-2.8,-0.5,
105,Greg Ostertag,30,UTA,C,78,51,2153,14.3,0.506,0.002,0.446,12.6,20.9,16.7,9.8,0.8,5.5,15.9,13.4,2.3,2.7,5,0.111,-0.5,0.9,0.5,1.4,
106,Ray Allen,28,SEA,SG,56,56,2152,21.7,0.566,0.372,0.266,3.8,11.8,7.8,23.3,1.8,0.4,12.1,27.8,6.5,0.4,6.9,0.153,5.5,-1.5,4,3.2,AS
107,Morris Peterson,26,TOR,SF,82,29,2148,12.1,0.539,0.579,0.16,1.9,12.2,7,9.5,2.3,0.5,9.9,15.7,2.1,2.8,4.9,0.11,-1.3,1.4,0.1,1.1,
108,Drew Gooden,22,ORL,PF,79,17,2134,15.6,0.484,0.051,0.316,8.3,19.3,13.7,7.5,1.5,2.4,11.8,22.7,1,0.9,1.9,0.043,-0.8,-1.7,-2.5,-0.2,
109,Dwyane Wade,22,MIA,PG,61,56,2126,17.6,0.53,0.066,0.391,4.6,9,6.8,25.1,2.2,1.3,17.3,25,2.2,2.3,4.6,0.103,1.4,0.1,1.4,1.9,ROY-3
110,Jason Williams,28,MEM,PG,72,68,2115,16.9,0.517,0.511,0.137,1.3,6.6,3.9,38.3,2.3,0.2,15.2,19,3.9,1.4,5.4,0.122,3.3,-0.8,2.4,2.3,
111,Aaron McKie,31,PHI,SF,75,41,2112,13.9,0.55,0.298,0.192,2.5,11.5,7.1,16.8,2.2,0.9,14.1,16.2,2.5,2.3,4.8,0.108,0.2,1.1,1.3,1.8,
112,Anfernee Hardaway,32,2TM,SG,76,14,2095,11.8,0.472,0.116,0.203,3.8,11.9,7.9,13.9,1.8,0.7,12.6,18.6,0.6,1.4,2,0.046,-1.4,-0.3,-1.7,0.1,
113,Tim Thomas,26,2TM,SF,66,65,2089,15.1,0.534,0.239,0.268,3.5,13.9,8.8,10.4,1.6,0.7,11.3,22.4,2.5,1.6,4.1,0.093,0.6,-0.5,0.2,1.1,
114,Maurice Taylor,27,HOU,PF,75,10,2081,13.6,0.512,0.003,0.227,7.8,13.6,10.9,10.1,1.1,1.7,15,22.7,0.9,2.8,3.7,0.085,-1.9,0.1,-1.8,0.1,6MOY-10
115,Darius Miles,22,2TM,SF,79,56,2079,16.1,0.514,0.053,0.256,6.2,13.6,9.9,14,1.8,2.1,13.4,21.5,1.9,1.7,3.6,0.083,0.4,0,0.4,1.3,
116,Hedo Türkoğlu,24,SAS,SF,80,44,2073,14.1,0.516,0.374,0.25,2.8,16.3,9.7,12.5,2.1,1.1,11.6,18.1,2.2,4.5,6.7,0.155,0.1,2.4,2.5,2.3,
