Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kevin Durant,21,OKC,SF,82,82,3239,26.2,0.607,0.21,0.504,3.8,17.9,11,13.5,1.8,1.9,11.7,32,11.1,5,16.1,0.238,6.3,0.8,7.1,7.5,"MVP-2,AS,NBA1"
2,Andre Iguodala,26,PHI,SF,82,82,3193,17.8,0.535,0.271,0.384,3,16.8,9.8,23.7,2.3,1.4,14.3,21.8,4,2.8,6.7,0.101,2,0.4,2.4,3.5,
3,Rudy Gay,23,MEM,SF,80,80,3175,16.2,0.535,0.157,0.311,4.2,13.2,8.7,7.8,1.9,1.5,10.3,22.5,4,2.4,6.4,0.096,0.8,-0.3,0.5,2,
4,Stephen Jackson,31,2TM,SG,81,81,3129,15.6,0.518,0.277,0.306,3,12.2,7.7,17.7,2.2,1.1,13.9,27.5,0.5,4.6,5,0.077,0.3,0.1,0.4,1.9,MVP-12
5,Gerald Wallace,27,CHA,SF,76,76,3119,18.3,0.586,0.148,0.577,5.9,23.2,14.7,9,2,2.2,13.1,20.3,5.3,6.2,11.5,0.177,1,1.7,2.7,3.7,"DPOY-3,AS,DEF1"
6,O.J. Mayo,22,MEM,SG,82,82,3113,14.6,0.551,0.3,0.221,2.3,9.4,5.8,12.2,1.6,0.4,11.9,20.7,4.3,1.4,5.6,0.087,0.8,-0.8,0,1.6,
7,Zach Randolph,28,MEM,PF,81,81,3051,21.2,0.546,0.039,0.348,12.6,23.8,18.2,8.2,1.3,0.8,10.1,24.6,7,2.7,9.7,0.153,2.7,-1.4,1.3,2.5,AS
8,Jeff Green,23,OKC,PF,82,82,3043,13.8,0.53,0.292,0.208,4.3,13.9,9.2,7.2,1.8,1.8,10.4,19.2,2.5,4.2,6.6,0.105,-0.4,0.6,0.2,1.7,
9,Dirk Nowitzki,31,DAL,PF,81,80,3039,22.9,0.578,0.081,0.392,3.1,20.1,11.7,13,1.2,2,7.8,28.8,8.4,3.9,12.3,0.194,3.7,0.5,4.2,4.7,"MVP-7,AS,NBA2"
10,Brook Lopez,21,NJN,C,82,82,3027,20.1,0.57,0.002,0.451,9.9,17.5,13.5,11.8,1,3.4,13.1,23.6,5.5,2.4,7.9,0.125,1.6,-0.5,1.2,2.5,
11,David Lee,26,NYK,C,81,81,3019,22.2,0.584,0.006,0.262,8.4,27.6,17.9,17.5,1.4,1,11.9,23.8,7.4,2.9,10.3,0.163,2.6,0,2.5,3.5,"DPOY-17,AS"
12,LeBron James,25,CLE,SF,76,76,2966,31.1,0.604,0.253,0.506,3,18.5,11.1,41.8,2.2,2,12.3,33.5,13.3,5.2,18.5,0.299,9.1,2.8,11.8,10.3,"MVP-1,DPOY-4,AS,NBA1,DEF1"
13,Rajon Rondo,23,BOS,PG,81,81,2963,19.1,0.54,0.088,0.312,4.3,10.5,7.5,43.7,3.3,0.3,19.3,20.2,4.9,4.7,9.6,0.156,2.2,1.4,3.6,4.2,"DPOY-5,AS,DEF1"
14,David West,29,NOH,PF,81,81,2949,18.9,0.56,0.022,0.279,6.4,17.9,12,13.7,1.3,1.5,11.2,24,5.2,2.3,7.5,0.122,1.2,-0.3,0.8,2.1,
15,LaMarcus Aldridge,24,POR,PF,78,78,2922,18.2,0.535,0.014,0.26,8.1,18.6,13.3,9.9,1.3,1.3,7.4,22.9,5.5,3.3,8.8,0.145,1.4,-0.2,1.2,2.3,
16,Aaron Brooks,25,HOU,PG,82,82,2919,16,0.549,0.394,0.224,2,6.6,4.2,25.6,1.2,0.3,13.7,25.7,3.9,1.6,5.5,0.091,2.3,-1.6,0.7,1.9,MIP-1
17,Boris Diaw,27,CHA,PF,82,82,2906,12.8,0.552,0.266,0.19,5.5,11.9,8.8,18.9,1.1,1.6,17.5,16.2,2.4,3.8,6.2,0.103,-0.1,0.9,0.8,2,
18,Stephen Curry,21,GSW,PG,80,77,2896,16.3,0.568,0.332,0.175,1.8,12,6.8,24.6,2.5,0.5,16.5,21.8,3,1.6,4.7,0.077,1.1,-0.5,0.7,2,ROY-2
19,Joe Johnson,28,ATL,SG,76,76,2886,19.3,0.538,0.253,0.194,3,11.4,7.1,22,1.5,0.1,8.8,26.3,6,2.4,8.4,0.14,3.4,-0.7,2.7,3.4,"MVP-12,AS,NBA3"
20,Jason Kidd,36,DAL,PG,80,80,2881,17.2,0.577,0.617,0.148,1.9,15.6,8.9,36.4,2.6,0.9,21.4,14.5,4.8,4,8.9,0.148,2.5,1.7,4.2,4.5,AS
21,Josh Smith,24,ATL,PF,81,81,2871,21,0.536,0.007,0.422,9,19.8,14.3,19,2.4,4.5,14.3,22.2,4.2,5.1,9.3,0.155,2.4,2.7,5.1,5.1,"DPOY-2,DEF2"
22,Derrick Rose,21,CHI,PG,78,78,2871,18.6,0.532,0.044,0.246,2.6,8.7,5.7,30.3,1,0.7,12.5,27.2,3.5,2.5,6,0.1,2.6,-0.9,1.7,2.7,AS
23,Al Horford,23,ATL,C,81,81,2845,19.4,0.594,0.001,0.319,9.6,23.3,16.4,10.4,1.1,2.4,11.2,17.6,6.9,3.9,10.9,0.183,1.8,0.5,2.3,3.1,AS
24,Dwight Howard,24,ORL,C,82,82,2843,24,0.63,0.008,0.978,12,31.3,22,8.7,1.4,6,18.7,23.9,6.1,7.1,13.2,0.223,1.6,2.8,4.4,4.6,"MVP-4,DPOY-1,AS,NBA1,DEF1"
25,Amar'e Stoudemire,27,PHO,PF,82,82,2838,22.6,0.615,0.005,0.5,9.7,18.9,14.5,4.8,0.9,2.1,12.1,27.3,8.2,2.5,10.7,0.181,2.1,-1.1,1,2.2,"MVP-10,AS,NBA2"
26,Kobe Bryant,31,LAL,SG,73,73,2835,21.9,0.545,0.192,0.345,3.1,12.2,7.7,23.8,2.1,0.5,11.4,32.3,5.4,4,9.4,0.16,3.9,0.2,4.1,4.4,"MVP-3,DPOY-12,AS,NBA1,DEF1"
27,John Salmons,30,2TM,SG,81,56,2824,14.7,0.553,0.312,0.308,1.4,9.4,5.4,12.9,1.8,0.7,9.9,19.9,3.7,3.4,7.1,0.121,0.4,1.2,1.6,2.5,
28,Ray Allen,34,BOS,SG,80,80,2819,15.2,0.601,0.41,0.26,2,8.8,5.5,12.3,1.2,0.7,10.6,20.2,5.1,2.9,7.9,0.135,1.5,-0.3,1.2,2.3,
29,Russell Westbrook,21,OKC,PG,82,82,2813,17.8,0.491,0.09,0.364,6,10.3,8.2,38.6,2,0.9,16.6,25.7,2.7,3.4,6.1,0.105,1.7,-0.5,1.2,2.3,
30,Deron Williams,25,UTA,PG,76,76,2802,20.6,0.574,0.246,0.397,2.2,10.4,6.4,44.5,1.8,0.5,16.9,23.8,7.4,3,10.3,0.177,4.2,-0.4,3.8,4.1,"MVP-9,AS,NBA2"
31,Andrea Bargnani,24,TOR,PF,80,80,2799,15.5,0.552,0.284,0.205,4.6,15.9,10.4,5.4,0.5,3,8.8,22.3,3.3,0.9,4.2,0.072,0.9,-1.7,-0.8,0.9,
32,Dwyane Wade,28,MIA,SG,77,77,2792,28,0.562,0.161,0.465,4.5,11.1,7.8,36.4,2.7,2.4,12.2,34.9,8.5,4.6,13,0.224,7.1,2.1,9.2,7.9,"MVP-5,DPOY-10,AS,NBA1,DEF2"
33,Caron Butler,29,2TM,SG,74,74,2783,13.7,0.507,0.138,0.3,4.3,14.9,9.5,9.2,2.2,0.7,11.9,22.1,0.6,2.9,3.5,0.061,-1.3,0,-1.3,0.5,
34,Nenê,27,DEN,C,82,82,2755,18.9,0.631,0.003,0.58,7,19.1,13.1,11.6,2.1,2.2,12.2,16.5,7.1,3.7,10.8,0.188,1.6,1.6,3.2,3.6,
35,Danilo Gallinari,21,NYK,SF,81,74,2747,14.8,0.575,0.526,0.331,2.6,14,8.2,7.6,1.4,1.6,9.4,19.3,4.1,1.5,5.6,0.098,1.2,-0.7,0.5,1.7,
36,Rasual Butler,30,LAC,SF,82,64,2702,10.7,0.524,0.497,0.167,1.7,8.7,5.1,6.8,0.7,1.9,7.8,17,1.8,0.9,2.7,0.048,-0.8,-1.1,-1.9,0.1,
37,Tyreke Evans,20,SAC,SG,72,72,2677,18.2,0.529,0.121,0.399,2.8,13.6,8.1,26.1,2.1,0.7,13.6,26.2,3.3,2.1,5.4,0.097,1.3,0,1.3,2.2,ROY-1
38,Carlos Boozer,28,UTA,PF,78,78,2673,21.3,0.599,0,0.35,8.2,29.9,19.4,15.8,1.6,1.1,14.3,24.8,5.3,4.6,9.9,0.178,2.4,1.1,3.4,3.7,
39,Brandon Jennings,20,MIL,PG,82,82,2671,14.5,0.475,0.319,0.225,2,10.4,6,29.6,2.1,0.5,13,26.1,0.3,3.9,4.2,0.075,0.5,0.2,0.7,1.8,ROY-3
40,Luis Scola,29,HOU,PF,82,82,2671,17.2,0.55,0.005,0.245,7.2,23.6,15.1,11.1,1.2,0.7,11.9,22.7,3.4,3,6.3,0.114,0,-0.3,-0.3,1.1,
41,Steve Nash,35,PHO,PG,81,81,2660,21.6,0.615,0.295,0.228,1.5,9.4,5.7,50.9,0.8,0.3,21.4,22.9,9.1,0.8,9.9,0.178,6.1,-1.8,4.3,4.2,"MVP-8,AS,NBA2"
42,Luol Deng,24,CHI,SF,70,69,2651,16.1,0.531,0.082,0.325,5.6,15.8,10.7,9.1,1.3,1.8,10.4,21.9,2.5,3.4,5.9,0.106,0.7,0.3,1,2,
43,Monta Ellis,24,GSW,SG,64,64,2647,16.7,0.517,0.162,0.276,1.9,9,5.4,21.2,2.6,0.7,13.4,29.5,0,1.3,1.3,0.023,0.1,-1.5,-1.4,0.4,
44,Raymond Felton,25,CHA,PG,80,80,2643,15.2,0.525,0.184,0.204,2.5,10.5,6.6,29.5,2.5,0.7,15.4,19.2,2.5,4,6.5,0.118,0.1,1.5,1.6,2.3,
45,Carmelo Anthony,25,DEN,SF,69,69,2634,22.2,0.548,0.125,0.407,6.7,13.1,9.9,15.9,1.7,0.9,10.6,33.4,5.6,2.4,7.9,0.145,3.5,-1.2,2.3,2.9,"MVP-6,AS,NBA2"
46,Trevor Ariza,24,HOU,SF,72,71,2629,13.3,0.488,0.407,0.228,3.3,14.7,8.8,16.7,2.4,1.1,12.8,21.2,0.1,3.1,3.2,0.058,-0.4,0.9,0.5,1.7,
47,Chris Kaman,27,LAC,C,76,76,2608,16.5,0.527,0.005,0.255,8.1,23.2,15.6,8.6,0.7,2.7,14.3,27.1,0,2.4,2.4,0.044,-1.4,-1.1,-2.5,-0.3,AS
48,Metta World Peace,30,LAL,SF,77,77,2605,12.1,0.514,0.4,0.251,4.3,9.9,7.1,13.3,2.1,0.6,12.8,16.2,1.8,3.5,5.3,0.098,-0.6,1.1,0.5,1.6,DPOY-6
49,Lamar Odom,30,LAL,PF,82,38,2585,15.9,0.533,0.246,0.273,8,26.5,17.3,15.6,1.5,1.7,15.3,17,2.8,4.9,7.7,0.143,0.7,1.8,2.5,2.9,6MOY-6
50,Mike Conley,22,MEM,PG,80,80,2569,13.9,0.526,0.255,0.225,1.4,7.3,4.3,24.8,2.2,0.4,15.7,18.4,2.6,1.3,4,0.074,0,-0.6,-0.6,0.9,
51,Jason Terry,32,DAL,SG,77,12,2540,16.5,0.552,0.358,0.257,0.9,5.4,3.2,18.8,1.9,0.5,8.6,23,4.4,2.1,6.5,0.123,1.6,-0.1,1.5,2.2,6MOY-2
52,Chris Bosh,25,TOR,C,70,70,2526,25,0.592,0.019,0.509,9.9,25.2,17.7,11.5,0.9,2.1,10.7,28.7,7.9,1.7,9.6,0.182,4.8,-1.2,3.6,3.6,"MVP-12,AS"
53,Baron Davis,30,LAC,PG,75,73,2523,17.4,0.501,0.292,0.287,2.4,9.9,6.1,39.6,2.6,1.3,15.6,24.3,2.5,2.1,4.5,0.086,1.5,0,1.5,2.2,
54,Richard Jefferson,29,SAS,SF,81,70,2520,13.1,0.551,0.241,0.37,2.7,13.6,8.3,9.6,0.9,1.1,10.4,18.3,3,3,6,0.113,-0.5,0.3,-0.2,1.2,
