Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Andrew Wiggins,21,MIN,SF,82,82,3048,16.5,0.534,0.184,0.345,3.8,8.8,6.3,10.6,1.4,0.8,9.4,29,3.3,0.9,4.2,0.066,0.7,-2.4,-1.7,0.2,
2,Karl-Anthony Towns,21,MIN,C,82,82,3030,25.9,0.618,0.186,0.289,11.2,27.8,19.4,13.2,0.9,2.9,11.3,27.5,9.9,2.8,12.7,0.201,5.5,-0.7,4.7,5.2,
3,James Harden,27,HOU,PG,81,81,2947,27.4,0.613,0.493,0.575,3.5,20.9,12.2,50.7,2,1,19.5,34.2,11.5,3.6,15,0.245,7.5,1.2,8.7,8,"MVP-2,AS,NBA1"
4,Giannis Antetokounmpo,22,MIL,SF,80,80,2845,26.1,0.599,0.143,0.486,5.9,22.6,14.3,26.6,2.3,4.7,13.3,28.3,7.9,4.5,12.4,0.21,4.9,2.4,7.3,6.7,"MVP-7,MIP-1,AS,NBA2,DEF2"
5,John Wall,26,WAS,PG,78,78,2836,23.2,0.541,0.19,0.367,2.4,10.6,6.5,46.9,2.7,1.4,16.2,30.6,5.8,3,8.8,0.149,4.6,0.1,4.7,4.8,"MVP-7,AS,NBA3"
6,Jimmy Butler,27,CHI,SF,76,75,2809,25.1,0.586,0.198,0.54,4.9,13.2,9,24.8,2.6,0.9,9.3,26.5,10.1,3.8,13.8,0.236,5.6,1.7,7.3,6.6,"AS,NBA3"
7,Harrison Barnes,24,DAL,PF,79,79,2803,16.3,0.541,0.173,0.22,3.7,13.1,8.2,7.7,1.2,0.5,6.8,25.3,2.5,2.1,4.6,0.078,0.4,-1.2,-0.8,0.8,
8,Russell Westbrook,28,OKC,PG,81,81,2802,30.6,0.554,0.3,0.433,5.4,28.8,17.1,57.3,2.3,0.9,15.9,41.7,8.5,4.6,13.1,0.224,8.7,2.4,11.1,9.3,"MVP-1,AS,NBA1"
9,CJ McCollum,25,POR,SG,80,80,2796,19.9,0.585,0.305,0.204,2.4,9.1,5.7,18,1.3,1.2,9.9,27.5,6.2,1.4,7.6,0.131,3.4,-1.4,2,2.8,
10,LeBron James,32,CLE,SF,74,74,2794,27,0.619,0.254,0.395,4,20.7,12.6,41.3,1.6,1.3,16.1,30,9.8,3,12.9,0.221,6.4,1.2,7.6,6.7,"MVP-4,DPOY-5,AS,NBA1"
11,Trevor Ariza,31,HOU,SF,80,80,2773,12.3,0.548,0.695,0.158,2.1,15.9,9,8.8,2.5,0.6,7.9,14.1,2.8,3.2,6,0.104,-0.1,1.1,1,2.1,
12,Rudy Gobert,24,UTA,C,81,81,2744,23.3,0.681,0.002,0.762,13.6,29.5,21.8,5.7,0.9,6.4,15,16.7,8.3,6,14.3,0.25,2.2,2.2,4.4,4.4,"DPOY-2,NBA2,DEF1"
13,Kemba Walker,26,CHO,PG,79,79,2739,21.3,0.569,0.415,0.248,1.8,10.6,6.2,29.1,1.6,0.7,9.5,29.2,5.9,2.2,8.1,0.142,4.9,-0.8,4.1,4.2,AS
14,Devin Booker,20,PHO,SG,78,78,2730,14.6,0.531,0.283,0.308,1.8,8.3,5,16.3,1.3,0.6,12.9,28.6,1.3,0.6,2,0.035,0.3,-2.3,-1.9,0.1,
15,Anthony Davis,23,NOP,C,75,75,2708,27.5,0.58,0.088,0.424,6.7,27.9,17.2,11.1,1.7,5.1,9.1,32.6,5.9,5.1,11,0.195,4.4,1.4,5.9,5.4,"MVP-9,AS,NBA1,DEF2"
16,Damian Lillard,26,POR,PG,75,75,2694,24.1,0.586,0.389,0.366,1.9,13.3,7.6,28.7,1.3,0.6,10.2,31.5,8.8,1.5,10.4,0.185,6.1,-1.1,5,4.8,
17,Paul George,26,IND,SF,75,75,2689,20.2,0.587,0.368,0.277,2.5,17.9,10.3,16.1,2.2,0.9,12.7,28.9,3.9,3.1,7.1,0.126,3,0.1,3.1,3.4,AS
