Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,Kevin Durant,23,OKC,SF,66,66,2546,26.2,0.61,0.265,0.386,1.9,20.4,11.8,17.5,1.8,2.2,14,31.3,8.5,3.7,12.2,0.23,6.2,0.8,7,5.8,"MVP-2,AS,NBA1"
2,Pau Gasol,31,LAL,PF,65,65,2430,20.4,0.547,0.029,0.285,8.8,21.8,15.6,17.2,0.8,2.6,12.1,22.1,5.2,3.1,8.3,0.165,2.6,0.8,3.4,3.3,
3,Rudy Gay,25,MEM,SF,65,65,2422,17.8,0.521,0.162,0.246,6.1,14.1,10.1,10.8,2.1,1.8,12,25.1,2.8,3.3,6,0.12,1.7,0.2,1.9,2.4,
4,Blake Griffin,22,LAC,PF,66,66,2392,23.4,0.557,0.016,0.458,10.7,25.1,17.8,16.6,1.2,1.7,10.9,26.6,6.6,2.6,9.2,0.185,3.9,-0.2,3.7,3.4,"AS,NBA2"
5,John Wall,21,WAS,PG,66,66,2386,17.7,0.502,0.047,0.45,2.2,12,7.1,36.9,2.1,1.8,19.2,24.9,1.7,1.9,3.5,0.071,1.3,-0.6,0.7,1.6,
6,Marc Gasol,27,MEM,C,65,65,2370,18.4,0.541,0.016,0.428,5.8,23.1,14.3,14.1,1.4,4.1,12.1,19.1,4.2,4,8.2,0.166,1,2.1,3.1,3.1,"DPOY-12,AS"
7,Brandon Jennings,22,MIL,PG,66,66,2331,18.4,0.514,0.346,0.213,2.3,8.6,5.3,26.7,2.3,0.7,10.6,25.9,3.8,1.8,5.5,0.114,3,-0.3,2.7,2.8,
8,Russell Westbrook,23,OKC,PG,66,66,2331,22.9,0.538,0.155,0.326,5,9.4,7.4,29.8,2.5,0.7,14.2,32.7,5.5,2.4,7.9,0.163,3.7,-0.7,3,3,"MVP-12,DPOY-18,AS,NBA2"
9,Josh Smith,26,ATL,PF,66,66,2329,21.1,0.499,0.099,0.292,6.9,24.8,15.9,20.6,2.1,3.8,11.7,28.4,1.9,4.9,6.8,0.139,1.7,2.1,3.8,3.3,DPOY-10
10,LeBron James,27,MIA,SF,62,62,2326,30.7,0.605,0.127,0.429,5,19.7,12.6,33.6,2.6,1.7,13.3,32,10,4.5,14.5,0.298,8.2,2.7,10.9,7.6,"MVP-1,DPOY-4,AS,NBA1,DEF1"
11,Kobe Bryant,33,LAL,SG,58,58,2232,21.9,0.527,0.215,0.338,3.5,11.8,7.8,23.7,1.6,0.6,11.7,35.7,4.2,2,6.2,0.132,4.2,-0.9,3.3,2.9,"MVP-4,AS,NBA1,DEF2"
12,Wesley Matthews,25,POR,SG,66,53,2228,14.1,0.539,0.442,0.224,2.9,9,5.9,8.3,2.3,0.5,8,18.7,3.4,1.4,4.8,0.104,0.3,0.1,0.3,1.3,
13,Andre Iguodala,28,PHI,SF,62,62,2209,17.6,0.537,0.305,0.31,2.8,16.4,9.6,23.7,2.6,1,13.8,17.7,3.1,4.2,7.3,0.158,1.5,2.5,4,3.3,"DPOY-7,AS"
14,DeMar DeRozan,22,TOR,SG,63,63,2206,12.8,0.503,0.102,0.367,2.1,9,5.6,10.8,1.2,0.6,10.5,25,1.1,1.4,2.5,0.054,-1.4,-1.3,-2.7,-0.4,
15,Jrue Holiday,21,PHI,PG,65,65,2196,14.7,0.496,0.205,0.144,2.9,7.9,5.4,21.6,2.5,0.6,13.2,21.8,0.9,3.3,4.2,0.092,-0.5,0.9,0.4,1.3,
16,Jeff Teague,23,ATL,PG,66,66,2183,15.8,0.551,0.222,0.275,1.1,7.4,4.3,24.3,2.6,1.3,15.1,19.1,3,3,6,0.131,0,1.3,1.3,1.8,
17,Chris Paul,26,LAC,PG,60,60,2181,27,0.581,0.239,0.339,2.3,9.4,5.8,43.8,3.8,0.2,10.8,24.3,10.4,2.3,12.7,0.278,6.7,2.4,9.2,6.1,"MVP-3,DPOY-12,AS,NBA1,DEF1"
18,Mike Conley,24,MEM,PG,62,61,2174,16.8,0.523,0.232,0.231,1.2,7.4,4.2,29.8,3.3,0.4,14.2,18.3,3.6,2.8,6.4,0.141,1,1.4,2.4,2.4,DPOY-14
19,Tyreke Evans,22,SAC,SG,63,61,2162,16.4,0.512,0.11,0.287,3.1,12,7.3,22.1,2,1,14.4,23.8,2,0.6,2.7,0.059,0.3,-0.9,-0.6,0.8,
20,Kris Humphries,26,NJN,PF,62,62,2162,17.9,0.539,0,0.414,12.2,24.8,18.3,7.4,1.2,2.6,13,19.3,3.6,1.7,5.3,0.118,0.2,-1.2,-0.9,0.6,
21,Antawn Jamison,35,CLE,PF,65,65,2151,16.1,0.481,0.256,0.26,6.3,15.7,10.8,11.9,1.2,1.5,7.2,26.2,2.1,1,3.1,0.07,1.4,-1.6,-0.3,0.9,
22,Kevin Love,23,MIN,PF,55,55,2145,25.4,0.568,0.266,0.434,11.6,26.4,19,10,1.1,0.9,9.2,28.8,7.6,2.3,10,0.223,6.1,-0.9,5.2,3.9,"MVP-6,AS,NBA2"
23,Brandon Knight,20,DET,PG,66,60,2129,11.7,0.511,0.359,0.178,1.8,10.3,5.9,20.8,1.2,0.4,17.1,21.7,0.3,1,1.3,0.029,-0.9,-1.7,-2.6,-0.3,ROY-8
24,Luol Deng,26,CHI,SF,54,54,2129,14.1,0.5,0.285,0.219,4.1,14,9.2,11.7,1.4,1.2,10.4,19.8,2.3,3.6,5.8,0.132,0.6,1.1,1.7,2,"DPOY-9,AS,DEF2"
25,Joe Johnson,30,ATL,SG,60,60,2127,18.4,0.557,0.346,0.2,2.9,9.2,6.1,19.7,1.2,0.5,10.3,24.9,4.4,2.1,6.4,0.145,3.1,-1,2.1,2.2,"MVP-15,AS"
26,Ty Lawson,24,DEN,PG,61,61,2124,19.4,0.579,0.261,0.282,3.1,9.2,6.2,30.2,2,0.2,14.7,21.2,5.7,1.2,6.9,0.157,3.6,-0.4,3.2,2.8,
27,David Lee,28,GSW,PF,57,57,2121,19.7,0.549,0.005,0.304,9.2,19.9,14.6,13.6,1.3,0.8,12.5,26,3.8,1.2,5,0.113,1.2,-1.6,-0.3,0.9,
28,Monta Ellis,26,2TM,SG,58,58,2120,17.5,0.509,0.193,0.264,1.1,9.6,5.3,28.6,2.1,0.6,13.2,28.7,1.6,0.9,2.6,0.059,1,-1.3,-0.3,0.9,
29,Marcin Gortat,27,PHO,C,66,66,2114,21.2,0.578,0.003,0.326,10,25,17.6,4.8,1.2,3.4,9.3,20.8,4.9,2.7,7.6,0.172,2.2,0,2.2,2.3,
30,Andrew Bynum,24,LAL,C,60,60,2112,22.9,0.594,0.006,0.425,10.6,26.1,18.7,7.4,0.7,4,13.9,23.8,4.8,3.3,8,0.183,2.7,0.2,2.9,2.6,"AS,NBA2"
31,Paul Millsap,26,UTA,PF,64,62,2100,21.8,0.545,0.036,0.296,9.7,21.2,15.4,12.4,2.9,2,10.3,23.2,4.9,2.9,7.8,0.179,2.6,1.3,3.9,3.1,
32,Tayshaun Prince,31,DET,SF,63,63,2087,12.8,0.47,0.13,0.144,4,12.4,8,13.2,0.7,1.2,8,20.4,1.2,0.9,2.1,0.048,0,-1.5,-1.5,0.3,
