Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1,James Harden,25,HOU,SG,81,81,2981,26.7,0.605,0.378,0.561,2.8,14.2,8.5,34.6,2.6,1.6,14.9,31.3,12.2,4.2,16.4,0.265,7,1.8,8.8,8.1,"MVP-2,AS,NBA1"
2,Andrew Wiggins,19,MIN,SF,82,82,2969,13.9,0.517,0.111,0.41,5,9.5,7.2,9.8,1.5,1.3,11.7,22.6,2.1,0,2.1,0.034,-0.4,-2,-2.4,-0.3,ROY-1
3,Trevor Ariza,29,HOU,SF,82,82,2930,12.7,0.539,0.61,0.157,2.9,14.4,8.6,11.1,2.6,0.5,12.7,16.5,2.7,3.9,6.6,0.108,-0.1,1.1,1,2.2,DPOY-13
4,Damian Lillard,24,POR,PG,82,82,2925,20.7,0.56,0.421,0.293,1.8,11.8,6.9,29,1.7,0.5,12.6,26.9,7.3,3.3,10.6,0.174,4.3,0.3,4.7,4.9,AS
5,Chris Paul,29,LAC,PG,82,82,2857,26,0.596,0.298,0.274,2.1,12.5,7.4,47.4,2.8,0.4,12.7,23.7,12.9,3.2,16.1,0.27,6.4,1.6,8,7.2,"MVP-6,DPOY-15,AS,NBA2,DEF1"
6,John Wall,24,WAS,PG,79,79,2837,19.9,0.523,0.186,0.31,1.5,12.8,7.3,46.3,2.5,1.3,18.7,26.1,3.6,4.2,7.8,0.132,2.6,1,3.6,4,"AS,DEF2"
7,DeAndre Jordan,26,LAC,C,82,82,2820,21,0.638,0.007,0.882,16.2,32.4,24.5,3.2,1.5,5.4,12.8,13.6,7.4,5.4,12.8,0.217,2.2,0.7,2.9,3.5,"DPOY-3,NBA3,DEF1"
8,Eric Bledsoe,25,PHO,PG,81,81,2800,18.4,0.555,0.26,0.422,2.8,13.9,8.3,27.9,2.3,1.2,18.1,23.7,4.1,2.9,7,0.119,1.6,0.5,2.1,2.9,
9,Joe Johnson,33,BRK,SG,80,80,2791,14.1,0.523,0.329,0.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,2.6,1.5,4.1,0.07,0.7,-0.8,-0.1,1.3,
10,Kyrie Irving,22,CLE,PG,75,75,2730,21.5,0.583,0.306,0.296,2.3,7.5,5,25,2.2,0.6,11.8,26.2,8.4,2,10.4,0.183,4.4,-0.4,4.1,4.2,"AS,NBA3"
11,Monta Ellis,29,DAL,SG,80,80,2699,16.5,0.509,0.21,0.224,1.4,6.4,3.9,20.5,2.8,0.8,11.7,27.9,1.4,2.2,3.6,0.065,0,-0.1,-0.1,1.3,
12,Tyreke Evans,25,NOP,SG,79,76,2690,17.7,0.508,0.195,0.25,3.5,14.1,8.8,32.7,2,1,16,26.1,2.4,2.2,4.6,0.082,1.4,-0.2,1.2,2.2,
13,Marc Gasol,30,MEM,C,81,81,2687,21.7,0.558,0.016,0.41,4.9,21.8,13.4,19.7,1.4,4,12.2,24.6,5.5,4.7,10.2,0.182,2.7,2.4,5.1,4.8,"MVP-8,DPOY-10,AS,NBA1"
14,Pau Gasol,34,CHI,PF,78,78,2681,22.7,0.55,0.023,0.317,9.2,27.6,18.6,14.4,0.5,4,10.7,24.7,6,4.4,10.4,0.187,2.9,0.6,3.5,3.7,"AS,NBA2"
15,Ben McLemore,21,SAC,SG,82,82,2670,10.4,0.552,0.471,0.193,1.4,8.6,5.1,8.4,1.5,0.6,13.3,17.2,1.7,0.8,2.5,0.045,-1.3,-0.9,-2.2,-0.2,
16,Ty Lawson,27,DEN,PG,75,75,2665,18.5,0.526,0.221,0.392,1.6,8.1,4.7,43,1.7,0.3,14.6,20.6,6,1,7,0.126,3,-0.9,2.2,2.8,
17,Goran Dragić,28,2TM,PG,78,78,2640,17.4,0.577,0.258,0.234,3.5,8.2,5.9,22.8,1.5,0.5,13.5,21.8,5.4,1.4,6.8,0.123,1.6,-0.8,0.8,1.8,
17,Goran Dragić,28,PHO,SG,52,52,1735,16.7,0.573,0.274,0.191,3.2,8.5,5.8,20.2,1.4,0.4,13.4,21.5,3.1,0.9,4,0.111,1.1,-1,0.1,0.9,
17,Goran Dragić,28,MIA,PG,26,26,905,18.8,0.586,0.226,0.322,4.1,7.7,5.9,27.8,1.6,0.6,13.8,22.2,2.3,0.5,2.8,0.146,2.5,-0.4,2.1,0.9,
18,Gordon Hayward,24,UTA,SF,76,76,2618,20.2,0.567,0.304,0.425,2.4,14,8.2,21.7,2.2,0.9,13.8,26.2,5.8,2.9,8.7,0.159,3.5,0.5,4,4,
19,Stephen Curry,26,GSW,PG,80,80,2613,28,0.638,0.482,0.251,2.4,11.4,7,38.6,3,0.5,14.3,28.9,11.5,4.1,15.7,0.288,8.2,1.7,9.9,7.9,"MVP-1,AS,NBA1"
20,Kentavious Caldwell-Pope,21,DET,SG,82,82,2587,11.2,0.501,0.457,0.163,1.9,9.1,5.4,6.8,1.9,0.5,8.3,19.5,1.1,1.8,2.8,0.052,-1.3,-0.4,-1.7,0.2,
21,Markieff Morris,25,PHO,PF,82,82,2581,15.8,0.523,0.163,0.211,4.6,17,10.7,12.4,2,1.2,12.4,23.3,1.8,2.7,4.6,0.085,-0.5,0.2,-0.3,1.1,
22,Victor Oladipo,22,ORL,SG,72,71,2573,15.9,0.527,0.228,0.295,2.2,11.2,6.6,19.3,2.4,0.6,14.3,25.2,1.5,2,3.5,0.065,-0.1,-0.3,-0.4,1.1,
23,Giannis Antetokounmpo,20,MIL,SG,81,71,2541,14.8,0.552,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,2.2,4,6.2,0.117,-1.2,1.2,0,1.2,
24,Kevin Love,26,CLE,PF,75,75,2532,18.8,0.562,0.412,0.337,6.5,26.3,16.6,10.7,1,1.2,10,21.7,5.8,2.9,8.7,0.165,3.2,-0.4,2.7,3,
25,Nikola Vučević,24,ORL,C,74,74,2529,21.5,0.548,0.005,0.181,10.4,26,18.1,11,1.1,1.7,10.2,26,4.5,2.5,7,0.133,2,-1.2,0.9,1.8,
26,Jimmy Butler,25,CHI,SG,65,65,2513,21.3,0.583,0.212,0.508,5.1,11.2,8.2,14.4,2.3,1,7.7,21.6,8.2,3,11.2,0.214,3.4,1.2,4.6,4.2,"DPOY-10,MIP-1,AS,DEF2"
27,LaMarcus Aldridge,29,POR,PF,71,71,2512,22.8,0.528,0.074,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,4.9,3.7,8.6,0.165,3.2,-0.3,2.9,3.1,"MVP-7,AS,NBA2"
28,Andre Drummond,21,DET,C,82,82,2502,21.4,0.504,0.002,0.38,18.3,30.1,24,3.9,1.5,4.8,9.7,22,3.4,4.3,7.7,0.147,0.6,-0.7,-0.1,1.2,
29,Arron Afflalo,29,2TM,SG,78,72,2502,10.7,0.533,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19,1.6,1,2.6,0.05,-1.4,-1.1,-2.5,-0.3,
29,Arron Afflalo,29,DEN,SG,53,53,1750,11.7,0.533,0.37,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,1.4,0.4,1.8,0.05,-0.7,-1.2,-1.9,0.1,
29,Arron Afflalo,29,POR,SG,25,19,752,8.2,0.533,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,0.2,0.5,0.8,0.049,-3,-0.8,-3.8,-0.4,
30,LeBron James,30,CLE,SF,69,69,2493,25.9,0.577,0.265,0.413,2.4,16.6,9.6,38.6,2.3,1.6,15.3,32.3,7.4,2.9,10.4,0.199,6.1,1,7.1,5.7,"MVP-3,DPOY-13,AS,NBA1"
31,Draymond Green,24,GSW,PF,79,79,2490,16.4,0.54,0.43,0.261,5.1,22.4,14,16.1,2.4,2.9,13.5,17.2,3.3,5.2,8.5,0.163,0.7,2.8,3.5,3.5,"DPOY-2,DEF1"
32,Elfrid Payton,20,ORL,PG,82,63,2489,13.8,0.456,0.059,0.302,4.8,11.2,7.9,32.6,2.9,0.7,20.2,18.3,0,2.3,2.3,0.044,-1.5,0.3,-1.2,0.5,ROY-4
33,Wilson Chandler,27,DEN,SF,78,75,2471,13.2,0.523,0.416,0.146,4.1,17.2,10.4,8.9,1.2,0.9,9.6,20.1,2.1,1.5,3.6,0.071,0.2,-0.7,-0.6,0.9,
34,Klay Thompson,24,GSW,SG,77,77,2455,20.8,0.591,0.42,0.197,1.2,9.4,5.4,14.6,1.7,1.8,9.5,27.6,5.7,3.1,8.8,0.172,4.5,-0.1,4.4,4,"MVP-10,AS,NBA3"
35,Anthony Davis,21,NOP,PF,68,68,2455,30.8,0.591,0.01,0.384,8,24.1,16.1,11.6,2.1,6.2,6.3,27.8,9.9,4.2,14,0.274,6.6,2.3,8.9,6.7,"MVP-5,DPOY-4,AS,NBA1,DEF2"
36,Jeff Green,28,2TM,SF,78,70,2454,14.4,0.534,0.302,0.297,2.9,12.1,7.5,8.8,1.1,1.1,9,21.9,2.7,2.4,5.2,0.101,0.5,-0.7,-0.2,1.2,
36,Jeff Green,28,BOS,SF,33,33,1093,14.6,0.539,0.324,0.303,2.1,12.2,7.1,7.9,1.2,0.9,9.4,23.8,1,1,2,0.089,0.2,-1.3,-1.1,0.3,
36,Jeff Green,28,MEM,SF,45,37,1361,14.2,0.53,0.28,0.291,3.6,12,7.8,9.5,1,1.3,8.6,20.5,1.7,1.5,3.1,0.111,0.8,-0.2,0.6,0.9,
37,Marcin Gortat,30,WAS,C,82,82,2453,18.2,0.587,0.004,0.226,8.5,24.1,16.5,6.5,1,3.6,10.5,17.6,4.4,4.2,8.6,0.168,0.6,0.9,1.5,2.1,
38,Thaddeus Young,26,2TM,PF,76,68,2434,15.7,0.507,0.119,0.207,5.8,13.5,9.6,12.4,2.6,0.8,10,21.5,1.6,1.4,3.1,0.061,0,-0.2,-0.1,1.1,
38,Thaddeus Young,26,MIN,PF,48,48,1605,15,0.491,0.101,0.201,5.2,12.5,8.7,14.7,2.7,0.8,9.7,21.2,0.8,0.6,1.4,0.043,-0.4,-0.1,-0.5,0.6,
38,Thaddeus Young,26,BRK,PF,28,20,829,17.1,0.539,0.153,0.217,7.1,15.4,11.2,8,2.4,0.8,10.5,22,0.8,0.8,1.6,0.095,0.7,-0.3,0.5,0.5,
39,Avery Bradley,24,BOS,SG,77,77,2428,11.5,0.507,0.348,0.099,2,8.9,5.4,8.9,1.7,0.5,9.4,21,0.4,2.1,2.5,0.049,-1.5,-0.6,-2.2,-0.1,
40,Luol Deng,29,MIA,SF,72,72,2421,15.5,0.561,0.28,0.319,5.2,13.3,9.3,9.9,1.4,0.8,10.7,19.5,3.7,1.6,5.4,0.106,1.1,-1.1,0,1.2,
41,Kyle Korver,33,ATL,SG,75,75,2418,14.8,0.699,0.748,0.197,0.7,13.3,7.2,12.1,1.1,1.5,14.1,14.4,5,2.4,7.5,0.148,2.4,0.4,2.8,3,AS
42,Kyle Lowry,28,TOR,PG,70,70,2414,19.3,0.527,0.375,0.299,2.6,13.1,7.8,32.4,2.3,0.4,12.8,25.4,5.1,2,7.1,0.141,3.2,-0.1,3,3.1,AS
43,JJ Redick,30,LAC,SG,78,78,2409,16.2,0.622,0.488,0.216,1,6.6,3.9,9,0.8,0.3,8.5,21,5.8,0.9,6.7,0.134,2.9,-1.6,1.3,2,
44,Rudy Gay,28,SAC,SF,68,67,2408,19.7,0.556,0.197,0.352,4.8,13.7,9.4,19,1.5,1.3,12.4,27,4.8,1.3,6.1,0.122,3.4,-0.7,2.7,2.9,
45,Paul Millsap,29,ATL,PF,73,73,2390,20,0.565,0.232,0.362,6.9,20,13.6,15.4,2.8,2.4,13.3,23.8,4,4.3,8.3,0.166,1.7,1.7,3.4,3.3,AS
46,P.J. Tucker,29,PHO,SF,78,63,2383,12.5,0.541,0.423,0.24,5.2,18,11.5,7.4,2.2,0.7,12.7,13.9,2.2,2.7,4.9,0.098,-0.7,1,0.4,1.4,
47,Solomon Hill,23,IND,SF,82,78,2381,10.2,0.507,0.328,0.304,3.3,11.2,7.3,11.9,1.4,0.6,13.8,15.9,0.9,2.6,3.5,0.072,-2,0.5,-1.5,0.3,
48,Nicolas Batum,26,POR,SF,71,71,2380,13.1,0.516,0.515,0.163,2.8,15.6,9.4,20.5,1.7,1.2,17,14.6,2,3.2,5.2,0.105,0.3,1.8,2.1,2.4,
49,Khris Middleton,23,MIL,SF,79,58,2378,15.6,0.563,0.308,0.18,2.3,14.3,8.4,12.7,2.6,0.4,10.8,19.9,3.2,3.5,6.7,0.135,0.5,1.1,1.6,2.2,
50,Tobias Harris,22,ORL,SF,68,63,2369,16.7,0.551,0.252,0.258,3.4,17.3,10.3,8.8,1.5,1.2,9.8,22.5,3,1.8,4.8,0.098,1.1,-0.6,0.5,1.5,
51,Mario Chalmers,28,MIA,PG,80,37,2368,11.7,0.521,0.374,0.401,1.2,9,5.2,21,2.7,0.4,18.2,18.9,0.8,2,2.8,0.056,-2.6,0.1,-2.5,-0.3,
52,Blake Griffin,25,LAC,PF,67,67,2356,22.8,0.551,0.022,0.373,6.1,17.9,12.1,26.2,1.4,1.2,10.2,28.4,6.6,2.4,9,0.183,3.8,0.2,4,3.6,"MVP-8,AS,NBA3"
