Player,MP
Jordan Goodwin,2704.0
Jordan Hawkins,2481.0
Jordan McLaughlin,3458.0
Jordan Miller,420.0
Jordan Nwora,3359.0
Jordan Poole,10076.0
Jordan Walsh,403.0
Jose Alvarado,4538.0
Josh Christopher,2120.0
Josh Giddey,8195.0
Josh Green,6415.0
Josh Hall,336.0
Josh Hart,11198.0
Josh Jackson,2390.0
Josh Minott,276.0
Josh Okogie,4648.0
Josh Richardson,6023.0
Joshua Primo,965.0
Jrue Holiday,10456.0
Juan Toscano-Anderson,2801.0
Juancho Hernangómez,1959.0
Julian Champagnie,3720.0
Julian Phillips,1446.0
Julian Strawther,1929.0
Julius Randle,11804.0
Justin Anderson,316.0
Justin Champagnie,1621.0
Justin Edwards,1155.0
Justin Holiday,5808.0
Justin Jackson,577.0
Justin James,310.0
Justin Minaya,381.0
Justin Robinson,304.0
Justise Winslow,2057.0
Jusuf Nurkić,6991.0
KJ Martin,6674.0
KJ Simpson,842.0
KZ Okpala,447.0
Kai Jones,1018.0
Karl-Anthony Towns,9665.0
Karlo Matković,791.0
Kawhi Leonard,7031.0
Keaton Wallace,501.0
Keegan Murray,7580.0
Keifer Sykes,566.0
Keion Brooks Jr.,332.0
Keita Bates-Diop,3073.0
Kel'el Ware,1422.0
Kelan Martin,772.0
Keldon Johnson,10299.0
Keljin Blevins,349.0
Kelly Olynyk,7353.0
Kelly Oubre Jr.,9367.0
Kemba Walker,2317.0
Kendrick Nunn,2614.0
Kennedy Chandler,281.0
Kenrich Williams,5865.0
Kent Bazemore,1878.0
Kentavious Caldwell-Pope,11293.0
Keon Ellis,2926.0
Keon Johnson,3038.0
Kessler Edwards,2255.0
Kevin Durant,9932.0
Kevin Huerter,9758.0
Kevin Knox,1976.0
Kevin Love,4702.0
Kevin Porter Jr.,6248.0
Kevon Harris,457.0
Kevon Looney,7188.0
Keyonte George,4132.0
Khem Birch,2520.0
Khris Middleton,7541.0
Killian Hayes,5479.0
Killian Tillie,461.0
Kira Lewis Jr.,1510.0
Klay Thompson,7469.0
Kobe Brown,666.0
Kris Dunn,3936.0
Kris Murray,2388.0
Kristaps Porziņģis,7828.0
Kyle Anderson,8112.0
Kyle Filipowski,1522.0
Kyle Kuzma,10614.0
Kyle Lowry,7801.0
Kyrie Irving,9052.0
Kyshawn George,1802.0
LaMarcus Aldridge,1724.0
LaMelo Ball,7375.0
Lamar Stevens,3193.0
Lance Stephenson,814.0
Landry Shamet,5135.0
Langston Galloway,438.0
Larry Nance Jr.,5191.0
Lauri Markkanen,8764.0
LeBron James,10490.0
Leaky Black,284.0
Lester Quiñones,394.0
Lindy Waters III,2054.0
Lonnie Walker IV,5919.0
Lonzo Ball,3736.0
Lou Williams,2222.0
Luguentz Dort,9799.0
Luka Dončić,11347.0
Luka Garza,389.0
Luka Šamanić,712.0
Luke Kennard,6937.0
Luke Kornet,3496.0
Malachi Flynn,3032.0
Malaki Branham,3571.0
Malcolm Brogdon,6565.0
Malik Beasley,9903.0
Malik Monk,8662.0
MarJon Beauchamp,1309.0
Marc Gasol,993.0
Marcus Bagley,253.0
Marcus Morris,5708.0
Marcus Sasser,2162.0
Marcus Smart,7119.0
Mark Williams,2507.0
Markelle Fultz,3048.0
Markieff Morris,1853.0
Marquese Chriss,346.0
Marvin Bagley III,4566.0
Mason Jones,334.0
Mason Plumlee,7320.0
Matas Buzelis,1511.0
Matisse Thybulle,5982.0
Matt Ryan,700.0
Matt Thomas,785.0
Maurice Harkless,1635.0
Max Christie,3583.0
Max Strus,7878.0
Maxi Kleber,5229.0
Maxwell Lewis,327.0
McKinley Wright IV,335.0
Mfiondu Kabengele,280.0
Micah Potter,705.0
Michael Carter-Williams,800.0
Michael Porter Jr.,9133.0
Mikal Bridges,14055.0
Mike Conley,9534.0
Mike Muscala,2782.0
Mike Scott,852.0
Miles Bridges,9379.0
Miles McBride,4053.0
Mitchell Robinson,5350.0
Miye Oni,519.0
Mo Bamba,4471.0
Monte Morris,6177.0
Montrezl Harrell,3902.0
Moritz Wagner,4770.0
Moses Brown,1559.0
Moses Moody,4229.0
Mouhamed Gueye,533.0
Moussa Diabaté,1241.0
Mychal Mulder,766.0
Myles Turner,8765.0
Naji Marshall,6403.0
Nassir Little,3162.0
Nathan Knight,837.0
Nathan Mensah,307.0
Naz Reid,7977.0
Neemias Queta,1196.0
Nemanja Bjelica,1737.0
Nerlens Noel,2109.0
Nic Claxton,7837.0
Nick Richards,4599.0
Nick Smith Jr.,2098.0
Nickeil Alexander-Walker,7351.0
Nico Mannion,364.0
Nicolas Batum,7902.0
Nicolò Melli,566.0
Nikola Jokić,12595.0
Nikola Jović,2052.0
Nikola Vučević,12400.0
Noah Clowney,1412.0
Norman Powell,9178.0
OG Anunoby,9955.0
Obi Toppin,6238.0
Ochai Agbaji,4589.0
Olivier Sarr,421.0
Olivier-Maxence Prosper,920.0
Omer Yurtseven,1251.0
Onuralp Bitim,268.0
Onyeka Okongwu,6911.0
Orlando Robinson,1499.0
Oscar Tshiebwe,255.0
Oshae Brissett,3796.0
Oso Ighodaro,1045.0
Otto Porter Jr.,2002.0
Ousmane Dieng,1339.0
P.J. Tucker,5743.0
P.J. Washington,10158.0
PJ Dozier,1428.0
Paolo Banchero,6811.0
Pascal Siakam,12441.0
Pat Connaughton,6988.0
Pat Spencer,250.0
Patrick Baldwin Jr.,493.0
Patrick Beverley,5586.0
Patrick Patterson,582.0
Patrick Williams,7478.0
Patty Mills,5334.0
Paul George,8673.0
Paul Millsap,1538.0
Paul Reed,3085.0
Paul Watson,297.0
Payton Pritchard,7008.0
Pelle Larsson,782.0
Peyton Watson,3144.0
Precious Achiuwa,6396.0
Quentin Grimes,5945.0
Quenton Jackson,381.0
Quinten Post,686.0
R.J. Hampton,3040.0
RJ Barrett,11110.0
Rajon Rondo,1467.0
Raul Neto,3280.0
Rayan Rupert,1093.0
Reece Beekman,469.0
Reed Sheppard,654.0
Reggie Bullock,6632.0
Reggie Jackson,7739.0
Richaun Holmes,4293.0
Ricky Council IV,1539.0
Ricky Rubio,3308.0
Rob Dillingham,516.0
Robert Covington,5450.0
Robert Williams,3964.0
Robin Lopez,2265.0
Rodney Hood,1651.0
Rodney McGruder,1278.0
Romeo Langford,1898.0
Ron Holland,1266.0
Royce O'Neale,10847.0
Rudy Gay,3212.0
Rudy Gobert,11436.0
Rui Hachimura,7901.0
Russell Westbrook,10794.0
Ryan Arcidiacono,450.0
Ryan Dunn,1410.0
Ryan Rollins,820.0
Saben Lee,1758.0
Saddiq Bey,8804.0
Sam Hauser,4572.0
Sam Merrill,2470.0
Sandro Mamukelashvili,2199.0
Santi Aldama,5320.0
Sasha Vezenkov,511.0
Scoot Henderson,3524.0
Scottie Barnes,9523.0
Scotty Pippen Jr.,2210.0
Sekou Doumbouya,869.0
Semi Ojeleye,1356.0
Serge Ibaka,1832.0
Seth Curry,6662.0
Shaedon Sharpe,5090.0
Shai Gilgeous-Alexander,10689.0
Shake Milton,5625.0
Shaquille Harrison,333.0
Simone Fontecchio,3647.0
Skylar Mays,702.0
Solomon Hill,1513.0
Spencer Dinwiddie,8993.0
Stanley Johnson,2569.0
Stanley Umude,307.0
Stephen Curry,10977.0
Stephon Castle,2162.0
Sterling Brown,1857.0
Steven Adams,5531.0
Svi Mykhailiuk,3681.0
T.J. McConnell,6680.0
T.J. Warren,687.0
Taj Gibson,2771.0
Talen Horton-Tucker,5861.0
Tari Eason,3667.0
Taurean Prince,7548.0
Taylor Hendricks,856.0
Terance Mann,8739.0
Terence Davis,2451.0
Terrence Ross,4125.0
Terrence Shannon Jr.,339.0
Terry Rozier,10760.0
Terry Taylor,978.0
Thaddeus Young,3731.0
Thanasis Antetokounmpo,1024.0
Theo Pinson,323.0
Thomas Bryant,3195.0
Théo Maledon,3540.0
Tidjane Salaün,1244.0
Tim Hardaway Jr.,9655.0
Timothé Luwawu-Cabarrot,1735.0
Tobias Harris,11666.0
Tomáš Satoranský,2213.0
Tony Bradley,1233.0
Tony Snell,1815.0
Torrey Craig,5710.0
Tosan Evbuomwan,1032.0
Toumani Camara,4287.0
Trae Young,11999.0
Trayce Jackson-Davis,2097.0
Tre Jones,6444.0
Tre Mann,3856.0
Trendon Watford,3820.0
Trent Forrest,1758.0
Trevelin Queen,430.0
Trevor Ariza,1303.0
Trey Burke,1352.0
Trey Jemison,965.0
Trey Lyles,5649.0
Trey Murphy III,6856.0
Tristan Da Silva,1629.0
Tristan Thompson,3061.0
Tristan Vukcevic,513.0
Troy Brown Jr.,4266.0
Ty Jerome,3797.0
TyTy Washington Jr.,433.0
Tyler Cook,438.0
Tyler Herro,10255.0
Tyler Johnson,684.0
Tyler Kolek,296.0
Tyrese Haliburton,10999.0
Tyrese Martin,1315.0
Tyrese Maxey,10187.0
Tyus Jones,8818.0
Udoka Azubuike,359.0
Usman Garuba,970.0
Vasilije Micić,1961.0
Victor Oladipo,2186.0
Victor Wembanyama,3633.0
Vince Williams Jr.,1935.0
Vit Krejci,2384.0
Vlatko Čančar,1170.0
Walker Kessler,4936.0
Wayne Ellington,1822.0
Wendell Carter Jr.,8081.0
Wendell Moore Jr.,499.0
Wenyen Gabriel,1382.0
Wes Iwundu,539.0
Wesley Matthews,3365.0
Will Barton,5006.0
Willie Cauley-Stein,906.0
Willy Hernangómez,2143.0
Xavier Tillman Sr.,3940.0
Yuta Watanabe,2560.0
Yves Missi,1956.0
Zaccharie Risacher,1843.0
Zach Collins,4446.0
Zach Edey,1416.0
Zach LaVine,10604.0
Zeke Nnaji,3007.0
Ziaire Williams,4486.0
Zion Williamson,6046.0
