,Player,Age Enter,Max BPM,Age Peaked,Top 3 BPM Avg,College,Draft Pick,Round,Round Bin,Country,League,League Diff,Player Tier,Met Draft Expt
361,PJ Dozier,23,-2.0,25,-2.7999999999999994,South Carolina,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
362,Zaccharie Risacher,19,-3.5,19,-3.5,JL Bourg-en-Bresse,1,1st,1-14,France,LNB Pro A,10,Benchwarmer,Bust
363,Jordan Bell,23,2.8,23,-0.20000000000000004,Oregon,38,2nd,31-44,USA,Top D1,2,Replacement Level,Below
364,Alfonzo McKinnie,26,-0.4,28,-3.0666666666666664,Wisconsin-Green Bay,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
365,Jodie Meeks,22,0.2,23,-0.13333333333333333,Kentucky,41,2nd,31-44,USA,Top D1,2,Replacement Level,Below
366,Kobe Bryant,18,7.6,27,6.866666666666667,Lower Merion HS (PA),13,1st,1-14,USA,High School,29,All-NBA,Exceeded
367,Chasson Randle,23,-1.7,23,-3.866666666666667,Stanford,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
368,Willie Reed,25,0.8,27,-0.19999999999999998,St. Louis,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
369,Tony Bradley,22,1.3,22,-0.25,North Carolina,28,1st,15-30,USA,Top D1,2,Replacement Level,Below
370,Jared Sullinger,20,1.1,22,0.10000000000000009,Ohio State,21,1st,15-30,USA,Top D1,2,Role Player,Met
371,Brandon Bass,20,0.6,30,0.39999999999999997,Louisiana State,33,2nd,31-44,USA,Top D1,2,Role Player,Met
372,Tyler Ennis,20,-2.1,22,-3.2000000000000006,Syracuse,18,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
373,Julian Strawther,21,-4.5,22,-5.25,Gonzaga,29,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
374,Vince Williams Jr.,23,-0.7,23,-1.75,Virginia Commonwealth,47,2nd,45-60,USA,Other D1,7,Replacement Level,Met
375,Anthony Gill,29,-1.9,29,-3.0999999999999996,Virginia,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
376,Cheick Diallo,21,-0.9,22,-1.1333333333333335,Kansas,33,2nd,31-44,USA,Top D1,2,Replacement Level,Below
377,Yves Missi,20,-3.0,20,-3.0,Baylor,21,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
378,Vasilije Micić,30,-4.6,30,-5.8,Mega Basket,52,2nd,45-60,Serbia,ABA,11,Benchwarmer,Below
379,Jared Butler,21,-1.0,24,-1.5666666666666667,Baylor,40,2nd,31-44,USA,Top D1,2,Replacement Level,Below
380,Rodney Stuckey,21,0.6,25,0.36666666666666664,Eastern Washington,15,1st,15-30,USA,Other D1,7,Role Player,Met
381,Rodions Kurucs,20,-2.6,20,-2.7,FC Barcelona,40,2nd,31-44,Spain,Euroleague,1,Benchwarmer,Bust
382,Aaron Brooks,23,0.7,25,-0.10000000000000003,Oregon,26,1st,15-30,USA,Top D1,2,Replacement Level,Below
383,JT Thor,19,-3.0,19,-4.066666666666666,Auburn,37,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
384,Brice Sensabaugh,20,-1.2,21,-3.35,Ohio State,28,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
385,Andrew Bogut,21,3.1,24,2.8333333333333335,Utah,1,1st,1-14,USA,Top D1,2,Good Starter,Met
386,Leandro Barbosa,21,2.7,24,1.633333333333333,Bauru,28,1st,15-30,Brazil,NBB,16,Role Player,Met
387,Ben Sheppard,22,-2.0,23,-2.7,Belmont,26,1st,15-30,USA,Other D1,7,Benchwarmer,Bust
388,Jaylen Wells,21,-2.2,21,-2.2,Washington State,39,2nd,31-44,USA,Other D1,7,Benchwarmer,Bust
389,Edmond Sumner,24,-2.6,27,-2.766666666666667,Xavier,52,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
390,Isaiah Livers,23,-1.5,23,-3.466666666666667,Michigan,42,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
391,Nikola Jović,20,0.3,20,0.3,Mega Basket,27,1st,15-30,Serbia,ABA,11,Role Player,Met
392,Lindy Waters III,24,1.9,26,0.1333333333333333,Oklahoma State,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
393,Brandon Rush,23,1.7,26,-0.1333333333333334,Kansas,13,1st,1-14,USA,Top D1,2,Replacement Level,Met
394,Luis Scola,27,0.5,28,0.06666666666666667,Tau Ceramica,55,2nd,45-60,Spain,Euroleague,1,Role Player,Met
395,Trayce Jackson-Davis,23,2.8,23,2.0,Indiana,57,2nd,45-60,USA,Top D1,2,Good Starter,Exceeded
396,Brandon Boston Jr.,20,-2.5,23,-4.933333333333334,Kentucky,51,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
397,Nick Smith Jr.,19,-5.7,20,-5.800000000000001,Arkansas,27,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
398,Josh Christopher,20,-3.5,20,-3.9,Arizona State,24,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
399,Tarik Black,23,-2.1,23,-2.6333333333333333,Kansas,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
400,Dereck Lively II,19,3.3,20,1.9,Duke,12,1st,1-14,USA,Top D1,2,Role Player,Below
401,Wayne Selden,23,-3.1,23,-4.25,Kansas,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
402,Guerschon Yabusele,23,-1.0,29,-1.85,"Rouen, France",16,1st,15-30,France,LNB Pro B,20,Replacement Level,Below
403,Darrell Arthur,20,-0.1,28,-0.8333333333333334,Kansas,27,1st,15-30,USA,Top D1,2,Replacement Level,Below
404,Marcus Sasser,23,-0.6,24,-1.6,Houston,25,1st,15-30,USA,Top D1,2,Replacement Level,Below
405,Stephon Castle,20,-3.2,20,-3.2,Connecticut,4,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
406,Sandro Mamukelashvili,22,2.3,25,0.49999999999999994,Seton Hall,54,2nd,45-60,USA,Top D1,2,Role Player,Met
407,Scotty Pippen Jr.,23,1.9,24,1.6,Vanderbilt,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
408,Blake Wesley,19,-4.0,20,-5.933333333333333,Notre Dame,25,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
409,Derrick Williams,20,0.3,23,-1.0666666666666667,Arizona,2,1st,1-14,USA,Top D1,2,Replacement Level,Met
410,Gary Clark,24,0.1,27,-0.8333333333333334,Cincinnati,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
411,Kessler Edwards,21,-1.4,24,-2.233333333333333,Pepperdine,44,2nd,31-44,USA,Other D1,7,Benchwarmer,Bust
412,Malcolm Delaney,27,-2.6,28,-4.1,Virginia Tech,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
413,Romeo Langford,20,-1.4,22,-3.4,Indiana,14,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
414,Miles Plumlee,25,-0.6,26,-1.1333333333333333,Duke,26,1st,15-30,USA,Top D1,2,Replacement Level,Below
415,JaKarr Sampson,21,-1.2,24,-2.2666666666666666,St. John's,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
416,Quinn Cook,24,-1.6,24,-2.5,Duke,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
417,Terrence Jones,21,2.2,22,1.7000000000000002,Kentucky,18,1st,15-30,USA,Top D1,2,Role Player,Met
418,Jarrett Culver,20,-4.0,20,-5.0,Texas Tech,6,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
419,Joakim Noah,22,5.3,28,4.166666666666667,Florida,9,1st,1-14,USA,Top D1,2,All-Star,Met
420,Tyler Zeller,23,0.9,25,-0.9,North Carolina,17,1st,15-30,USA,Top D1,2,Replacement Level,Below
421,Isaiah Jackson,20,1.7,22,-0.2333333333333334,Kentucky,22,1st,15-30,USA,Top D1,2,Replacement Level,Below
422,David Lee,22,3.0,23,2.433333333333333,Florida,30,1st,15-30,USA,Top D1,2,Good Starter,Met
423,Vit Krejci,21,0.7,24,-2.766666666666667,Zaragoza,37,2nd,31-44,Spain,Liga ACB,3,Benchwarmer,Bust
424,Kris Murray,23,-3.0,24,-3.3,Iowa,23,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
425,Caleb Houstan,20,-1.9,21,-2.6999999999999997,Michigan,32,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
426,Skal Labissière,20,-1.3,23,-2.1,Kentucky,28,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
427,Bol Bol,23,2.1,24,0.6666666666666669,Oregon,44,2nd,31-44,USA,Top D1,2,Role Player,Met
428,Salah Mejri,29,0.8,32,0.5666666666666667,Real Madrid,0,Undrafted,Undrafted,Spain,Euroleague,1,Role Player,Exceeded
429,Abdel Nader,24,0.0,27,-1.4000000000000001,Iowa State,58,2nd,45-60,USA,Top D1,2,Replacement Level,Met
430,Bub Carrington,19,-4.6,19,-4.6,Pittsburgh,14,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
431,Jake Layman,24,-0.5,24,-2.1,Maryland,47,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
432,Sam Merrill,27,0.5,27,0.4,Utah State,60,2nd,45-60,USA,Other D1,7,Role Player,Met
433,Lavoy Allen,22,0.0,25,-1.0999999999999999,Temple,50,2nd,45-60,USA,Other D1,7,Replacement Level,Met
434,Jordan Hawkins,21,-3.1,21,-4.25,Connecticut,14,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
435,Mark Williams,21,3.5,23,1.4666666666666666,Duke,15,1st,15-30,USA,Top D1,2,Role Player,Met
436,Al Jefferson,20,3.7,27,3.0,Prentiss (HS),15,1st,15-30,USA,High School,29,Good Starter,Met
437,Boban Marjanović,27,5.5,28,4.333333333333333,Crvena zvezda,0,Undrafted,Undrafted,Turkey,Euroleague,1,All-Star,Exceeded
438,Shane Larkin,21,-1.7,25,-2.1666666666666665,Miami,18,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
439,Jason Smith,21,-0.4,24,-1.2666666666666666,Colorado State,20,1st,15-30,USA,Other D1,7,Replacement Level,Below
440,Joffrey Lauvergne,23,-1.0,26,-1.6000000000000003,Khimki,55,2nd,45-60,Russia,Super League 1,25,Replacement Level,Met
441,Yuta Watanabe,26,-0.6,28,-1.0999999999999999,George Washington,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
442,Roy Hibbert,22,1.4,25,0.06666666666666661,Georgetown,17,1st,15-30,USA,Top D1,2,Role Player,Met
443,Jake LaRavia,21,0.2,23,-1.9333333333333333,Wake Forest,19,1st,15-30,USA,Other D1,7,Replacement Level,Below
444,Jarrett Jack,22,1.6,27,0.8333333333333334,Georgia Tech,22,1st,15-30,USA,Top D1,2,Role Player,Met
445,Jericho Sims,23,-0.5,24,-1.3333333333333333,Texas,58,2nd,45-60,USA,Top D1,2,Replacement Level,Met
446,Jaylin Williams,20,4.3,22,1.2333333333333334,Arkansas,34,2nd,31-44,USA,Top D1,2,Role Player,Met
447,Jaden Hardy,20,-2.3,20,-3.6999999999999997,G League Ignite,37,2nd,31-44,USA,G League,8,Benchwarmer,Bust
448,Facundo Campazzo,29,-0.6,29,-0.7,Murcia,0,Undrafted,Undrafted,Spain,Liga ACB,3,Replacement Level,Exceeded
449,A.J. Green,23,-0.9,23,-1.7333333333333334,Northern Iowa,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
450,Luke Babbitt,22,-0.4,25,-1.1666666666666667,Nevada,16,1st,15-30,USA,Other D1,7,Replacement Level,Below
451,Shaquille Harrison,24,2.8,26,0.26666666666666655,Tulsa,0,Undrafted,Undrafted,USA,Other D1,7,Role Player,Exceeded
452,Boris Diaw,21,2.8,23,1.7666666666666666,Pau Orthez,21,1st,15-30,France,LNB Pro B,20,Role Player,Met
453,Brandon Jennings,20,3.3,25,2.533333333333333,Virtus Roma,10,1st,1-14,Italy,Serie B,18,Good Starter,Met
454,Treveon Graham,24,-2.7,24,-4.0,Va Commonwealth,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
455,Jalen Wilson,23,-2.9,23,-3.4,Kansas,51,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
456,Jordan Goodwin,24,0.7,24,-0.3666666666666667,St. Louis,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
457,Day'Ron Sharpe,20,0.9,23,-0.4666666666666666,North Carolina,29,1st,15-30,USA,Top D1,2,Replacement Level,Below
458,Álex Abrines,23,-1.5,24,-2.1333333333333333,FC Barcelona,32,2nd,31-44,Spain,Euroleague,1,Benchwarmer,Bust
459,Tyler Ulis,21,-2.4,21,-3.4000000000000004,Kentucky,34,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
460,Timofey Mozgov,24,-0.7,28,-0.9666666666666667,Khimki,0,Undrafted,Undrafted,Russia,Super League 1,25,Replacement Level,Exceeded
461,Marreese Speights,21,0.6,27,-0.6333333333333333,Florida,16,1st,15-30,USA,Top D1,2,Replacement Level,Below
462,Quincy Acy,22,0.1,22,-0.5666666666666667,Baylor,37,2nd,31-44,USA,Top D1,2,Replacement Level,Below
463,James Wiseman,19,-3.5,21,-4.25,Memphis,2,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
464,Mario Chalmers,22,1.3,28,0.6333333333333334,Kansas,34,2nd,31-44,USA,Top D1,2,Role Player,Met
465,Andrew Harrison,22,-1.5,23,-2.45,Kentucky,44,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
466,Mirza Teletović,27,1.3,30,-0.06666666666666665,Baskonia,0,Undrafted,Undrafted,Spain,Euroleague,1,Replacement Level,Exceeded
467,Jock Landale,26,0.4,29,-0.033333333333333326,St. Mary's,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
468,David Roddy,21,-1.5,23,-3.466666666666667,Colorado State,23,1st,15-30,USA,Other D1,7,Benchwarmer,Bust
469,Isaiah Roby,22,0.6,23,-2.433333333333333,Nebraska,45,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
470,Gradey Dick,20,-3.2,21,-4.300000000000001,Kansas,13,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
471,Ramon Sessions,21,1.6,22,0.5333333333333333,Nevada,56,2nd,45-60,USA,Other D1,7,Role Player,Met
472,Hollis Thompson,22,-1.8,23,-2.5333333333333337,Georgetown,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
473,Ausar Thompson,21,1.7,22,-0.2500000000000001,Overtime Elite,5,1st,1-14,USA,Overtime,26,Replacement Level,Met
474,Keon Ellis,24,1.9,25,1.5499999999999998,Alabama,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
475,Randy Foye,23,0.5,30,0.033333333333333326,Villanova,7,1st,1-14,USA,Top D1,2,Role Player,Below
476,Jarell Martin,21,-3.7,21,-3.8666666666666667,Louisiana State,25,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
477,Bones Hyland,21,-0.4,21,-1.6000000000000003,Virginia Commonwealth,26,1st,15-30,USA,Other D1,7,Replacement Level,Below
478,Richard Jefferson,21,3.1,25,2.3000000000000003,Arizona,13,1st,1-14,USA,Top D1,2,Good Starter,Met
479,Jaylen Nowell,21,0.8,22,-1.5,Washington,43,2nd,31-44,USA,Top D1,2,Replacement Level,Below
480,Zeke Nnaji,20,-1.3,23,-1.7333333333333334,Arizona,22,1st,15-30,USA,Top D1,2,Replacement Level,Below
481,Sean Kilpatrick,26,-2.2,26,-2.433333333333333,Cincinnati,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
482,Malachi Flynn,22,-1.5,23,-2.1,San Diego State,29,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
483,Keon Johnson,19,-3.3,22,-4.866666666666666,Tennessee,21,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
484,R.J. Hampton,19,-2.9,21,-3.5999999999999996,New Zealand Breakers,24,1st,15-30,Australia,NBL,6,Benchwarmer,Bust
485,Anthony Black,20,-1.9,21,-2.45,Arkansas,6,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
486,Jabari Walker,20,-0.8,22,-3.4,Colorado,57,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
487,Juan Toscano-Anderson,26,0.8,27,-1.2,Marquette,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
488,Eric Paschall,23,-0.5,24,-1.6,Villanova,41,2nd,31-44,USA,Top D1,2,Replacement Level,Below
489,Paul Reed,22,2.9,25,1.8,DePaul,58,2nd,45-60,USA,Top D1,2,Role Player,Met
490,Brad Wanamaker,29,-0.6,30,-1.7666666666666666,Pittsburgh,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
491,Jerryd Bayless,20,1.7,23,0.3333333333333333,Arizona,11,1st,1-14,USA,Top D1,2,Role Player,Below
492,Sam Dekker,22,-0.2,22,-1.6333333333333335,Wisconsin,18,1st,15-30,USA,Top D1,2,Replacement Level,Below
493,Gerald Henderson,22,-1.1,25,-1.3333333333333333,Virginia Commonwealth,64,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
494,Dalano Banton,22,-0.5,23,-0.8666666666666667,Nebraska,46,2nd,45-60,USA,Top D1,2,Replacement Level,Met
495,Ty Lawson,22,3.2,24,2.566666666666667,North Carolina,18,1st,15-30,USA,Top D1,2,Good Starter,Met
496,Peyton Watson,21,-1.8,22,-2.0,UCLA,30,1st,15-30,USA,Top D1,2,Replacement Level,Below
497,Chris Duarte,24,-2.3,24,-3.4,Oregon,13,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
498,Justin Anderson,22,0.3,22,-0.6333333333333334,Virginia,21,1st,15-30,USA,Top D1,2,Replacement Level,Below
499,Lamar Stevens,23,-2.2,26,-2.6333333333333333,Penn State,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
500,Michael Beasley,20,0.9,27,-0.03333333333333336,Kansas State,2,1st,1-14,USA,Top D1,2,Replacement Level,Met
501,David West,23,4.0,32,3.3333333333333335,Xavier,18,1st,15-30,USA,Top D1,2,Good Starter,Met
502,Chet Holmgren,21,3.4,21,2.9,Gonzaga,2,1st,1-14,USA,Top D1,2,Good Starter,Met
503,Brandon Miller,21,0.0,22,-1.3,Alabama,2,1st,1-14,USA,Top D1,2,Replacement Level,Met
504,Chimezie Metu,23,-0.1,25,-0.9666666666666668,USC,49,2nd,45-60,USA,Top D1,2,Replacement Level,Met
505,Patrick McCaw,21,-1.8,24,-2.4,UNLV,38,2nd,31-44,USA,Other D1,7,Benchwarmer,Bust
506,Jordan Nwora,22,-1.1,22,-1.9000000000000001,Louisville,45,2nd,45-60,USA,Top D1,2,Replacement Level,Met
507,Aleksej Pokusevski,19,0.0,21,-1.5,Olympiacos,17,1st,15-30,Greece,Euroleague,1,Replacement Level,Below
508,Jason Terry,22,4.0,28,3.466666666666667,Arizona,10,1st,1-14,USA,Top D1,2,Good Starter,Met
509,Cristiano Felício,23,0.3,23,-1.1666666666666667,Flamengo,0,Undrafted,Undrafted,Brazil,NBB,16,Replacement Level,Exceeded
510,Jeremiah Robinson-Earl,21,-1.5,22,-2.066666666666667,Villanova,32,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
511,Jaime Jaquez Jr.,22,-0.9,23,-1.4,UCLA,18,1st,15-30,USA,Top D1,2,Replacement Level,Below
512,Scoot Henderson,19,-2.2,20,-4.0,G League Ignite,3,1st,1-14,USA,G League,8,Benchwarmer,Bust
513,Théo Maledon,19,-2.5,21,-3.966666666666667,ASVEL,34,2nd,31-44,France,LNB Pro A,10,Benchwarmer,Bust
514,Thon Maker,19,-1.2,21,-1.5333333333333332,Athlete Institute Prep,10,1st,1-14,Canada,International Prep,22,Replacement Level,Met
515,Cason Wallace,20,1.0,21,0.55,Kentucky,10,1st,1-14,USA,Top D1,2,Role Player,Below
516,Malaki Branham,19,-3.2,21,-4.666666666666667,Ohio State,20,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
517,Max Christie,19,-2.5,21,-3.0666666666666664,Michigan State,35,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
518,Nenê,20,3.6,27,2.9333333333333336,Vasco de Gama,7,1st,1-14,Brazil,NBB,16,Good Starter,Met
519,Jon Leuer,22,1.0,24,0.3,Wisconsin,40,2nd,31-44,USA,Top D1,2,Role Player,Met
520,Damian Jones,23,1.1,23,0.30000000000000004,Vanderbilt,30,1st,15-30,USA,Top D1,2,Role Player,Met
521,Isaiah Canaan,22,-0.8,23,-1.5,Murray State,34,2nd,31-44,USA,Other D1,7,Replacement Level,Below
522,Amen Thompson,21,4.1,22,2.9499999999999997,Overtime Elite,4,1st,1-14,USA,Overtime,26,Good Starter,Met
523,Shabazz Muhammad,21,0.7,22,-1.4000000000000001,UCLA,14,1st,1-14,USA,Top D1,2,Replacement Level,Met
524,Victor Wembanyama,20,6.5,21,5.85,Metropolitans 92,1,1st,1-14,France,Nationale Masculine 1,27,All-NBA,Exceeded
525,Channing Frye,22,2.7,26,1.5333333333333334,Arizona,8,1st,1-14,USA,Top D1,2,Role Player,Below
526,Ryan Arcidiacono,23,-1.9,24,-2.333333333333333,Villanova,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
527,Simone Fontecchio,27,-1.0,28,-3.033333333333333,Baskonia,0,Undrafted,Undrafted,Spain,Euroleague,1,Benchwarmer,Met
528,Gary Payton II,27,3.7,29,2.0,Oregon State,0,Undrafted,Undrafted,USA,Top D1,2,Good Starter,Exceeded
529,Terence Davis,22,0.8,22,-0.5333333333333333,Mississippi,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
530,Chandler Parsons,23,2.0,24,1.7666666666666668,Florida,38,2nd,31-44,USA,Top D1,2,Role Player,Met
531,Bilal Coulibaly,19,-3.7,20,-3.95,Metropolitans 92,7,1st,1-14,France,Nationale Masculine 1,27,Benchwarmer,Bust
532,Tari Eason,21,3.6,23,1.1666666666666667,Louisiana State,17,1st,15-30,USA,Top D1,2,Role Player,Met
533,Brandin Podziemski,20,0.7,21,0.3,Santa Clara,19,1st,15-30,USA,Other D1,7,Role Player,Met
534,Darius Miller,22,-1.9,27,-2.4666666666666663,Kentucky,46,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
535,Julian Champagnie,21,-1.3,23,-2.1666666666666665,St. John's,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
536,Manu Ginóbili,25,8.3,30,7.666666666666667,Virtus Bologna,57,2nd,45-60,Italy,Euroleague,1,MVP,Met
537,Nassir Little,19,-1.4,21,-2.3666666666666667,North Carolina,25,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
538,Wes Iwundu,23,-2.6,25,-3.366666666666667,Kansas State,33,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
539,Dragan Bender,19,-2.9,22,-3.5666666666666664,Maccabi Tel Aviv,4,1st,1-14,Israel,Israeli Premier League,21,Benchwarmer,Bust
540,Deron Williams,21,4.0,24,3.6,Illinois,3,1st,1-14,USA,Top D1,2,Good Starter,Met
541,Omri Casspi,21,0.4,30,0.13333333333333333,Maccabi Tel Aviv,23,1st,15-30,Israel,Israeli Premier League,21,Role Player,Met
542,Oshae Brissett,22,0.6,22,-1.1333333333333335,Syracuse,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
543,Tony Allen,23,3.6,28,2.3000000000000003,Oklahoma State,25,1st,15-30,USA,Top D1,2,Good Starter,Met
544,Trendon Watford,21,-0.5,23,-1.3333333333333333,Louisiana State,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
545,Chuma Okeke,22,-0.1,23,-1.0666666666666667,Auburn,16,1st,15-30,USA,Top D1,2,Replacement Level,Below
546,Dante Exum,19,-0.6,28,-1.6666666666666667,Australian Institute of Sport,5,1st,1-14,Australia,International Prep,22,Replacement Level,Met
547,Tre Mann,20,-1.3,22,-2.533333333333333,Florida,18,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
548,Frank Jackson,20,-1.7,22,-3.266666666666667,Duke,31,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
549,Xavier Tillman Sr.,22,1.9,24,0.7999999999999998,Michigan State,35,2nd,31-44,USA,Top D1,2,Role Player,Met
550,Terrance Ferguson,19,-3.3,19,-3.8666666666666667,Adelaide,21,1st,15-30,Australia,NBL,6,Benchwarmer,Bust
551,Matt Barnes,23,1.8,32,1.5666666666666667,UCLA,45,2nd,45-60,USA,Top D1,2,Role Player,Met
552,Nick Young,22,-0.1,29,-0.4333333333333333,Southern California,16,1st,15-30,USA,Top D1,2,Replacement Level,Below
553,Dwayne Bacon,22,-3.7,23,-4.5,Florida State,40,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
554,Jordan McLaughlin,23,4.2,27,1.6333333333333335,Southern California,0,Undrafted,Undrafted,USA,Top D1,2,Role Player,Exceeded
555,Miles McBride,21,0.0,24,-0.7999999999999999,West Virginia,36,2nd,31-44,USA,Top D1,2,Replacement Level,Below
556,Kyle O'Quinn,22,3.1,26,2.6666666666666665,Norfolk State,49,2nd,45-60,USA,Other D1,7,Good Starter,Exceeded
557,Jameer Nelson,22,5.1,25,2.766666666666666,St. Joseph's (PA),20,1st,15-30,USA,High School,29,Good Starter,Met
558,José Calderón,24,4.5,26,3.4666666666666663,Tau Ceramica,0,Undrafted,Undrafted,Spain,Euroleague,1,Good Starter,Exceeded
559,Semi Ojeleye,23,-1.7,25,-2.6999999999999997,Southern Methodist,37,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
560,Ty Jerome,22,4.3,27,0.9333333333333332,Virginia,24,1st,15-30,USA,Top D1,2,Role Player,Met
561,Keyonte George,20,-2.7,21,-3.5500000000000003,Baylor,16,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
562,Ian Clark,24,-1.5,25,-2.3000000000000003,Belmont,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
563,Haywood Highsmith,26,-0.7,27,-1.8999999999999997,Wheeling Jesuit,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
564,Kenneth Faried,22,2.2,22,1.4333333333333336,Morehead State,22,1st,15-30,USA,Other D1,7,Role Player,Met
565,Javonte Green,26,1.4,29,0.3333333333333333,Radford,0,Undrafted,Undrafted,USA,Other D1,7,Role Player,Exceeded
566,Brandon Knight,20,1.6,23,0.1666666666666667,Kentucky,8,1st,1-14,USA,Top D1,2,Role Player,Below
567,Jalen Smith,21,2.4,23,0.9333333333333332,Maryland,10,1st,1-14,USA,Top D1,2,Role Player,Below
568,Jalen Johnson,21,1.8,23,1.0999999999999999,Duke,20,1st,15-30,USA,Top D1,2,Role Player,Met
569,Damyean Dotson,23,-1.4,25,-2.1,Houston,44,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
570,Moses Moody,19,-0.1,21,-1.1666666666666667,Arkansas,14,1st,1-14,USA,Top D1,2,Replacement Level,Met
571,Luol Deng,19,3.0,21,2.1,Duke,7,1st,1-14,USA,Top D1,2,Good Starter,Met
572,Toumani Camara,23,-0.1,24,-1.6,Dayton,52,2nd,45-60,USA,Other D1,7,Replacement Level,Met
573,Keita Bates-Diop,23,-0.6,27,-1.0,Ohio State,48,2nd,45-60,USA,Top D1,2,Replacement Level,Met
574,Jeremy Lin,22,3.8,23,2.6666666666666665,Harvard,0,Undrafted,Undrafted,USA,Other D1,7,Good Starter,Exceeded
575,Lance Thomas,23,-3.0,24,-3.233333333333333,Duke,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
