,Player,Age Enter,Max BPM,Age Peaked,Top 3 BPM Avg,College,Draft Pick,Round,Round Bin,Country,League,League Diff,Player Tier,Met Draft Expt
201,Nathan Knight,23,-0.6,24,-2.5,William & Mary,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
202,KJ Simpson,22,-5.4,22,-5.4,Colorado,42,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
203,James Jones,24,1.3,26,0.7666666666666666,Miami,49,2nd,45-60,USA,Top D1,2,Role Player,Met
204,Taylor Hendricks,20,-1.6,20,-1.6,Central Florida,9,1st,1-14,USA,Top D1,2,Replacement Level,Met
205,Chris Johnson,23,1.6,27,-0.4333333333333333,Louisiana State,0,Undrafted,Undrafted,USA,Top D1,2,Replacement Level,Exceeded
206,Marcelo Huertas,32,-5.0,32,-5.0,FC Barcelona,0,Undrafted,Undrafted,Spain,Euroleague,1,Benchwarmer,Met
207,Jaden Springer,21,-2.7,22,-3.05,Tennessee,28,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
208,Josh Smith,19,5.1,24,3.9666666666666663,Oak Hill Academy (VA),17,1st,15-30,USA,High School,29,All-Star,Exceeded
209,Jeff Dowtin Jr.,25,0.2,27,-0.85,Rhode Island,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
210,Charles Bassey,22,0.7,22,-0.20000000000000007,Western Kentucky,53,2nd,45-60,USA,Other D1,7,Replacement Level,Met
211,Brian Roberts,27,-0.6,27,-1.3,Dayton,0,Undrafted,Undrafted,USA,Other D1,7,Replacement Level,Exceeded
212,Adem Bona,21,-2.7,21,-2.7,UCLA,41,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
213,Olivier-Maxence Prosper,21,-2.1,22,-2.5,Marquette,24,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
214,Chase Budinger,21,1.2,23,0.5,Arizona,44,2nd,31-44,USA,Top D1,2,Role Player,Met
215,Joe Young,23,-3.5,25,-4.1,Oregon,43,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
216,Deyonta Davis,21,-1.5,21,-1.5,Michigan State,31,2nd,31-44,USA,Top D1,2,Replacement Level,Below
217,Joshua Primo,19,-5.0,19,-5.0,Alabama,12,1st,1-14,USA,Top D1,2,Benchwarmer,Bust
218,Trey Jemison,24,-5.1,24,-5.949999999999999,Alabama-Birmingham,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
219,Usman Garuba,20,-1.4,20,-1.4,Real Madrid,23,1st,15-30,Spain,Euroleague,1,Replacement Level,Below
220,Dylan Windler,24,-1.7,24,-1.7,Belmont,26,1st,15-30,USA,Other D1,7,Replacement Level,Below
221,Semaj Christon,24,-5.1,24,-5.1,Xavier,55,2nd,45-60,USA,Top D1,2,Benchwarmer,Below
222,Josh McRoberts,21,2.3,23,1.3666666666666665,Duke,37,2nd,31-44,USA,Top D1,2,Role Player,Met
223,Terry Taylor,22,-0.6,22,-2.3499999999999996,Austin Peay,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
224,T.J. Leaf,20,-0.3,21,-1.7,UCLA,18,1st,15-30,USA,Top D1,2,Replacement Level,Below
225,Josh Huestis,26,-3.9,26,-3.9,Stanford,29,1st,15-30,USA,Top D1,2,Benchwarmer,Bust
226,Markel Brown,23,-2.6,23,-2.8,Oklahoma State,44,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
227,Steve Blake,23,1.5,28,0.5,Maryland,38,2nd,31-44,USA,Top D1,2,Role Player,Met
228,Davon Reed,26,-0.3,26,-2.8,Miami,32,2nd,31-44,USA,Top D1,2,Benchwarmer,Bust
229,Ky Bowman,22,-4.3,22,-4.3,Boston College,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
230,Mindaugas Kuzminskas,27,-1.9,27,-1.9,Malaga,0,Undrafted,Undrafted,Spain,Liga ACB,3,Replacement Level,Exceeded
231,Kai Jones,22,2.9,24,-0.55,Texas,19,1st,15-30,USA,Top D1,2,Replacement Level,Below
232,Thanasis Antetokounmpo,28,-3.5,28,-3.5,Panathinaikos,51,2nd,45-60,Greece,Euroleague,1,Benchwarmer,Below
233,Donatas Motiejūnas,22,-0.5,24,-2.6,Benetton Treviso,20,1st,15-30,Italy,Euroleague,1,Benchwarmer,Bust
234,Tosan Evbuomwan,22,-3.0,22,-3.1,Princeton,0,Undrafted,Undrafted,USA,Other D1,7,Benchwarmer,Met
235,Johnny Davis,20,-6.6,21,-7.0,Dayton,22,1st,15-30,USA,Other D1,7,Benchwarmer,Bust
236,Eugene Omoruyi,25,-2.3,26,-3.35,Oregon,0,Undrafted,Undrafted,USA,Top D1,2,Benchwarmer,Met
